code,company,recommendation_date,entry_date,exit_date,entry_price,exit_price,quantity,gross_profit,net_profit,return_pct,holding_days,status,notes,fees
65010,日立製作所,2025-08-01,2025-08-01,2025-08-04,4370.184,4191.18336,34,-6086.021760000007,-6231.565005120007,-0.0409595202398801,3,hit_stop,,145.54324512
90200,東日本旅客鉄道,2025-08-01,2025-08-01,2025-08-05,3192.5955,3348.8747250000006,46,7188.844350000031,7038.390534825031,0.048950524737631396,4,hit_target,,150.45381517500002
83090,三井住友トラスト・ホールディングス,2025-08-01,2025-08-01,2025-08-12,3959.979,4153.822050000001,37,7172.192850000032,7022.087530575032,0.0489505247376314,11,hit_target,,150.105319425
64710,日本精工,2025-08-05,2025-08-05,2025-08-12,720.36,755.6220000000001,208,7334.496000000012,7180.993872000012,0.048950524737631264,7,hit_target,,153.50212800000003
57060,三井金属鉱業,2025-08-09,2025-08-12,2025-08-13,6964.4805,7305.395475,21,7159.2144750000125,7009.380777262512,0.04895052473763127,1,hit_target,,149.83369773750002
41880,三菱ケミカルグループ,2025-08-02,2025-08-04,2025-08-14,768.1838999999999,788.50555,195,3962.721750000018,3810.9445286250175,0.026454147242607005,10,max_holding,,151.777221375
77310,ニコン,2025-08-09,2025-08-12,2025-08-20,1401.7005,1470.3144750000001,107,7341.695325000022,7188.042523837522,0.04895052473763134,8,hit_target,,153.6528011625
25030,キリンホールディングス,2025-08-13,2025-08-13,2025-08-20,2130.0645,2234.332275,70,7298.744250000018,7145.990362875018,0.048950524737631305,7,hit_target,,152.753887125
80580,三菱商事,2025-08-14,2025-08-14,2025-08-25,3154.5764999999997,3288.355,47,6287.589500000016,6136.180609750016,0.04240775267298173,11,max_holding,,151.40889025
58020,住友電気工業,2025-08-20,2025-08-20,2025-08-25,3891.9449999999997,4082.45775,38,7239.484500000012,7087.970847750012,0.04895052473763127,5,hit_target,,151.51365225
