Date,Equity,Cash,Exposure,OpenPositions
2025-01-06,1000000.0,1000000.0,0.0,0
2025-01-07,1000000.0,1000000.0,0.0,0
2025-01-08,1000000.0,1000000.0,0.0,0
2025-01-09,1000000.0,1000000.0,0.0,0
2025-01-10,1000000.0,1000000.0,0.0,0
2025-01-14,1000000.0,1000000.0,0.0,0
2025-01-15,1000000.0,1000000.0,0.0,0
2025-01-16,1000000.0,1000000.0,0.0,0
2025-01-17,1000000.0,1000000.0,0.0,0
2025-01-20,1000000.0,1000000.0,0.0,0
2025-01-21,1000000.0,1000000.0,0.0,0
2025-01-22,1000000.0,1000000.0,0.0,0
2025-01-23,1000000.0,1000000.0,0.0,0
2025-01-24,1000000.0,1000000.0,0.0,0
2025-01-27,1000000.0,1000000.0,0.0,0
2025-01-28,1000000.0,1000000.0,0.0,0
2025-01-29,1000000.0,1000000.0,0.0,0
2025-01-30,1000000.0,1000000.0,0.0,0
2025-01-31,1000000.0,1000000.0,0.0,0
2025-02-03,1000000.0,1000000.0,0.0,0
2025-02-04,1000000.0,1000000.0,0.0,0
2025-02-05,1000000.0,1000000.0,0.0,0
2025-02-06,1000000.0,1000000.0,0.0,0
2025-02-07,1000000.0,1000000.0,0.0,0
2025-02-10,1000000.0,1000000.0,0.0,0
2025-02-12,1000000.0,1000000.0,0.0,0
2025-02-13,1000000.0,1000000.0,0.0,0
2025-02-14,1000000.0,1000000.0,0.0,0
2025-02-17,1000000.0,1000000.0,0.0,0
2025-02-18,1000000.0,1000000.0,0.0,0
2025-02-19,1000000.0,1000000.0,0.0,0
2025-02-20,1000000.0,1000000.0,0.0,0
2025-02-21,1000000.0,1000000.0,0.0,0
2025-02-25,1000000.0,1000000.0,0.0,0
2025-02-26,1000000.0,1000000.0,0.0,0
2025-02-27,1000000.0,1000000.0,0.0,0
2025-02-28,1000000.0,1000000.0,0.0,0
2025-03-03,1000000.0,1000000.0,0.0,0
2025-03-04,1000000.0,1000000.0,0.0,0
2025-03-05,1000000.0,1000000.0,0.0,0
2025-03-06,1000000.0,1000000.0,0.0,0
2025-03-07,1000000.0,1000000.0,0.0,0
2025-03-10,1000000.0,1000000.0,0.0,0
2025-03-11,1000000.0,1000000.0,0.0,0
2025-03-12,1000000.0,1000000.0,0.0,0
2025-03-13,1000000.0,1000000.0,0.0,0
2025-03-14,1000000.0,1000000.0,0.0,0
2025-03-17,1000000.0,1000000.0,0.0,0
2025-03-18,1000000.0,1000000.0,0.0,0
2025-03-19,1000000.0,1000000.0,0.0,0
2025-03-21,1000000.0,1000000.0,0.0,0
2025-03-24,1000000.0,1000000.0,0.0,0
2025-03-25,1000000.0,1000000.0,0.0,0
2025-03-26,1000000.0,1000000.0,0.0,0
2025-03-27,1000000.0,1000000.0,0.0,0
2025-03-28,1000000.0,1000000.0,0.0,0
2025-03-31,1000000.0,1000000.0,0.0,0
2025-04-01,1000000.0,1000000.0,0.0,0
2025-04-02,1000000.0,1000000.0,0.0,0
2025-04-03,1000000.0,1000000.0,0.0,0
2025-04-04,1000000.0,1000000.0,0.0,0
2025-04-07,1000000.0,1000000.0,0.0,0
2025-04-08,1000000.0,1000000.0,0.0,0
2025-04-09,1000000.0,1000000.0,0.0,0
2025-04-10,1000000.0,1000000.0,0.0,0
2025-04-11,1000000.0,1000000.0,0.0,0
2025-04-14,1000000.0,1000000.0,0.0,0
2025-04-15,1000000.0,1000000.0,0.0,0
2025-04-16,1000000.0,1000000.0,0.0,0
2025-04-17,1000000.0,1000000.0,0.0,0
2025-04-18,1000000.0,1000000.0,0.0,0
2025-04-21,1000000.0,1000000.0,0.0,0
2025-04-22,1000000.0,1000000.0,0.0,0
2025-04-23,1000000.0,1000000.0,0.0,0
2025-04-24,1000000.0,1000000.0,0.0,0
2025-04-25,1000000.0,1000000.0,0.0,0
2025-04-28,1000000.0,1000000.0,0.0,0
2025-04-30,1000000.0,1000000.0,0.0,0
2025-05-01,1000000.0,1000000.0,0.0,0
2025-05-02,1000000.0,1000000.0,0.0,0
2025-05-07,1000000.0,1000000.0,0.0,0
2025-05-08,1000000.0,1000000.0,0.0,0
2025-05-09,1000000.0,1000000.0,0.0,0
2025-05-12,1000000.0,1000000.0,0.0,0
2025-05-13,1000000.0,1000000.0,0.0,0
2025-05-14,1000000.0,1000000.0,0.0,0
2025-05-15,1000000.0,1000000.0,0.0,0
2025-05-16,1000000.0,1000000.0,0.0,0
2025-05-19,1000000.0,1000000.0,0.0,0
2025-05-20,1000000.0,1000000.0,0.0,0
2025-05-21,1000000.0,1000000.0,0.0,0
2025-05-22,1000000.0,1000000.0,0.0,0
2025-05-23,1000000.0,1000000.0,0.0,0
2025-05-26,1000000.0,1000000.0,0.0,0
2025-05-27,1000000.0,1000000.0,0.0,0
2025-05-28,1000000.0,1000000.0,0.0,0
2025-05-29,1000000.0,1000000.0,0.0,0
2025-05-30,1000000.0,1000000.0,0.0,0
2025-06-02,1000000.0,1000000.0,0.0,0
2025-06-03,1000000.0,1000000.0,0.0,0
2025-06-04,1000000.0,1000000.0,0.0,0
2025-06-05,1000000.0,1000000.0,0.0,0
2025-06-06,1000000.0,1000000.0,0.0,0
2025-06-09,1000000.0,1000000.0,0.0,0
2025-06-10,1000000.0,1000000.0,0.0,0
2025-06-11,1000000.0,1000000.0,0.0,0
2025-06-12,1000000.0,1000000.0,0.0,0
2025-06-13,1000000.0,1000000.0,0.0,0
2025-06-16,1000000.0,1000000.0,0.0,0
2025-06-17,1000000.0,1000000.0,0.0,0
2025-06-18,1000000.0,1000000.0,0.0,0
2025-06-19,1000000.0,1000000.0,0.0,0
2025-06-20,1000000.0,1000000.0,0.0,0
2025-06-23,1000000.0,1000000.0,0.0,0
2025-06-24,1000000.0,1000000.0,0.0,0
2025-06-25,1000000.0,1000000.0,0.0,0
2025-06-26,1000000.0,1000000.0,0.0,0
2025-06-27,1000000.0,1000000.0,0.0,0
2025-06-30,1000000.0,1000000.0,0.0,0
2025-07-01,1000000.0,1000000.0,0.0,0
2025-07-02,1000000.0,1000000.0,0.0,0
2025-07-03,1000000.0,1000000.0,0.0,0
2025-07-04,1000000.0,1000000.0,0.0,0
2025-07-07,1000000.0,1000000.0,0.0,0
2025-07-08,1000000.0,1000000.0,0.0,0
2025-07-09,1000000.0,1000000.0,0.0,0
2025-07-10,1000000.0,1000000.0,0.0,0
2025-07-11,1000000.0,1000000.0,0.0,0
2025-07-14,1000000.0,1000000.0,0.0,0
2025-07-15,1000000.0,1000000.0,0.0,0
2025-07-16,1000000.0,1000000.0,0.0,0
2025-07-17,1000000.0,1000000.0,0.0,0
2025-07-18,1000000.0,1000000.0,0.0,0
2025-07-22,1000000.0,1000000.0,0.0,0
2025-07-23,1000000.0,1000000.0,0.0,0
2025-07-24,1000000.0,1000000.0,0.0,0
2025-07-25,1000000.0,1000000.0,0.0,0
2025-07-28,1000000.0,1000000.0,0.0,0
2025-07-29,1000000.0,1000000.0,0.0,0
2025-07-30,1000000.0,1000000.0,0.0,0
2025-07-31,1000000.0,1000000.0,0.0,0
2025-08-01,1005482.1455640001,557814.1455640001,447668.0,3
2025-08-04,996482.3712566302,550372.3712566302,446110.0,3
2025-08-05,1000366.0870479553,554433.7870479552,445932.30000000005,3
2025-08-06,1006005.6870479552,554433.7870479552,451571.9,3
2025-08-07,1009509.2870479552,554433.7870479552,455075.5,3
2025-08-08,1015134.6870479552,554433.7870479552,460700.9,3
2025-08-12,1033489.4864800302,568754.9864800302,464734.5,3
2025-08-13,1025042.0175450427,572912.5175450427,452129.5,3
2025-08-14,1024707.9924561677,578254.9924561677,446453.0,3
2025-08-15,1028364.9924561677,578254.9924561677,450110.0,3
2025-08-18,1032868.4924561677,578254.9924561677,454613.5,3
2025-08-19,1038383.9924561677,578254.9924561677,460129.0,3
2025-08-20,1038699.9433221302,596509.9433221302,442190.0,3
2025-08-21,1041176.9433221302,596509.9433221302,444667.0,3
2025-08-22,1044890.9433221302,596509.9433221302,448381.0,3
2025-08-25,1053638.0642720053,609703.5642720053,443934.5,3
