target_return,threshold,count,hit_rate,avg_return,avg_net_return
0.01,0.6,60697,0.6107715373082689,0.016689123247601308,0.014689123247601308
0.01,0.55,114903,0.5159395316049189,0.01154202815999917,0.009542028159999168
0.01,0.5,203894,0.4266383513001854,0.007428326019693791,0.00542832601969379
0.01,0.45,316843,0.35759982073140323,0.004563873543150446,0.0025638735431504425
0.01,0.42,381704,0.32672437281244104,0.0033216907164240854,0.001321690716424084
0.01,0.41,401938,0.3181062750971543,0.002991745623867701,0.000991745623867701
0.01,0.4,420642,0.31022579770921593,0.0026831481707836765,0.0006831481707836757
0.01,0.35,491846,0.28145801734689313,0.0015854194369483289,-0.0004145805630516734
0.01,0.3,529411,0.2670722746599523,0.000968596053781571,-0.0010314039462184308
