target_return,threshold,count,hit_rate,avg_return,avg_net_return
0.01,0.1,549900,0.2590616475722859,0.0004718992089260136,-0.0015281007910739875
0.01,0.11,549898,0.2590625897893791,0.00047193549575292584,-0.0015280645042470757
0.01,0.12,549896,0.25906353201332616,0.00047191596774763186,-0.0015280840322523693
0.01,0.13,549887,0.25906777210590537,0.00047188930387496834,-0.0015281106961250333
0.01,0.14,549875,0.25907342577858605,0.00047190006139326735,-0.001528099938606734
0.01,0.15,549853,0.2590837914860881,0.00047185478033652805,-0.0015281452196634732
0.01,0.16,549821,0.2590952328121334,0.00047198992779394836,-0.0015280100722060534
0.01,0.17,549793,0.2591047903483675,0.00047194442192377854,-0.0015280555780762231
0.01,0.18,549747,0.2591264709038885,0.0004721693968059653,-0.001527830603194036
0.01,0.19,549697,0.25914822165665813,0.00047258582482596906,-0.001527414175174032
0.01,0.2,549617,0.2591823033130343,0.00047289375110337736,-0.0015271062488966243
0.01,0.21,549504,0.2592228627999068,0.00047288145369339516,-0.0015271185463066063
0.01,0.22,549353,0.2592831931381097,0.00047338202044581735,-0.0015266179795541844
0.01,0.23,549165,0.2593610299272532,0.00047397408708064386,-0.001526025912919358
0.01,0.24,548910,0.2594705871636516,0.0004747290263839044,-0.0015252709736160975
0.01,0.25,548627,0.25957526698467265,0.00047533077807291696,-0.0015246692219270848
0.01,0.26,548295,0.2596904950802032,0.0004764109656567571,-0.0015235890343432439
0.01,0.27,547881,0.25983379602504925,0.0004771853759772383,-0.0015228146240227633
0.01,0.28,547380,0.26002411487449306,0.00047847178844272805,-0.0015215282115572733
0.01,0.29,546665,0.2602745740078476,0.00048019844950440276,-0.0015198015504955984
0.01,0.3,545718,0.26057780758560284,0.000482057623756267,-0.0015179423762437347
0.01,0.31,544375,0.2609947187141217,0.0004846823167117246,-0.001515317683288277
0.01,0.32,542552,0.2615288488476681,0.000488621769737616,-0.0015113782302623856
0.01,0.33,540004,0.2622517610980659,0.0004942896084289102,-0.0015057103915710915
0.01,0.34,536443,0.26317427946678396,0.0005004950409128014,-0.0014995049590871999
0.01,0.35,531633,0.2644662765479193,0.0005102738566485234,-0.001489726143351478
0.01,0.36,525206,0.26601181250785405,0.0005223004147696876,-0.001477699585230313
0.01,0.37,516647,0.2679198756597832,0.0005366233776695666,-0.0014633766223304348
0.01,0.38,506129,0.2701564225721111,0.0005521450908426279,-0.001447854909157373
0.01,0.39,494447,0.27269454562369677,0.0005754697867732678,-0.001424530213226734
0.01,0.4,480661,0.275699505472672,0.0006064410671550283,-0.001393558932844973
