target_return,threshold,count,hit_rate,avg_return,avg_net_return
0.008,0.85,2179,0.9554841670491051,0.05864489317112375,0.05664489317112376
0.008,0.8,5170,0.9061895551257253,0.044263700815074525,0.042263700815074516
0.008,0.75,10172,0.8400511207235548,0.03438626209625921,0.0323862620962592
0.008,0.7,17554,0.7859177395465421,0.02798048536841617,0.025980485368416167
0.008,0.65,31681,0.7268394305735298,0.022238013765021155,0.020238013765021153
0.008,0.6,60628,0.6508543907105627,0.01670531498697265,0.014705314986972645
0.01,0.85,2179,0.9472234970169803,0.05864489317112375,0.05664489317112376
0.01,0.8,5170,0.8891682785299807,0.044263700815074525,0.042263700815074516
0.01,0.75,10172,0.814883995281164,0.03438626209625921,0.0323862620962592
0.01,0.7,17554,0.7569214993733622,0.02798048536841617,0.025980485368416167
0.01,0.65,31681,0.6922129983270731,0.022238013765021155,0.020238013765021153
0.01,0.6,60628,0.6111037804314838,0.01670531498697265,0.014705314986972645
0.012,0.85,2179,0.9412574575493345,0.05864489317112375,0.05664489317112376
0.012,0.8,5170,0.8713733075435203,0.044263700815074525,0.042263700815074516
0.012,0.75,10172,0.7893236335037358,0.03438626209625921,0.0323862620962592
0.012,0.7,17554,0.72370969579583,0.02798048536841617,0.025980485368416167
0.012,0.65,31681,0.6544616647201793,0.022238013765021155,0.020238013765021153
0.012,0.6,60628,0.5681863165534077,0.01670531498697265,0.014705314986972645
