top_n,min_prob,count,hit_rate,avg_return,avg_net_return,transaction_cost
3,0.65,32,0.375,0.005786666516918497,0.003786666516918495,0.002
3,0.6,33,0.36363636363636365,0.005786643923246644,0.003786643923246643,0.002
5,0.6,54,0.3148148148148148,0.00198719492977322,-1.2805070226781623e-05,0.002
5,0.65,52,0.3076923076923077,0.001747162390261781,-0.0002528376097382208,0.002
