analysis_date,next_trade_date,code,company_name,sector,current_price,target_price,stop_loss_price,expected_return,volume,holding_period,prediction_probability,downside_probability,risk_score,composite_score,passed_up,passed_down,passed_risk,passed_all_filters,future_return
2025-07-15,2025-07-16,13330,銘柄13330,Unknown,3060.0,3090.6,3029.4,1.0,151200.0,1,0.16158737849497531,0.4718524970277828,0.10351710883263857,-0.11574571355197152,False,True,True,False,0.00032679738562091387
2025-07-16,2025-07-17,94320,銘柄94320,Unknown,150.2,151.702,148.69799999999998,1.0,103675200.0,1,0.20513699297800186,0.4890068322735456,0.350361605726174,-0.17951106544924053,True,True,True,True,0.0013315579227697327
2025-07-17,2025-07-18,61460,銘柄61460,Unknown,46970.0,47439.7,46500.3,1.0,6407300.0,1,0.1887512199586933,0.4789608298533333,0.39112789925640984,-0.20718035467053733,True,True,True,True,-0.08792846497764528
2025-07-18,2025-07-22,94340,銘柄94340,Unknown,218.6,220.786,216.414,1.0,36504300.0,1,0.15418721197801843,0.47605644786608736,0.08573459903034371,-0.11813485156716273,False,True,True,False,-0.0054894784995425105
2025-07-22,2025-07-23,58030,銘柄58030,Unknown,8443.0,8527.43,8358.57,1.0,20092200.0,1,0.18553395198602426,0.48730831468465463,0.39523181182227657,-0.2162129300852137,True,True,True,True,-0.009949070235698243
2025-07-23,2025-07-24,80350,銘柄80350,Unknown,28020.0,28300.2,27739.8,1.0,4687600.0,1,0.19905171897403115,0.46539602289974435,0.2674987385750002,-0.1406457879058411,True,True,True,True,0.0
2025-07-24,2025-07-25,80350,銘柄80350,Unknown,28020.0,28300.2,27739.8,1.0,3730400.0,1,0.18127286437134765,0.4678050745106194,0.2596163845929388,-0.1564762267211376,True,True,True,True,-0.0021413276231263545
2025-07-25,2025-07-28,94320,銘柄94320,Unknown,152.1,153.621,150.57899999999998,1.0,109777400.0,1,0.1804592656775741,0.4798866246278188,0.15015096457154362,-0.11954443246495275,True,True,True,True,-0.00460223537146609
2025-07-28,2025-07-29,13330,銘柄13330,Unknown,3103.0,3134.03,3071.97,1.0,125300.0,1,0.15881817828976832,0.4689708400678774,0.09142833628410935,-0.11223857625781414,False,True,True,False,-0.0035449564937157785
2025-07-29,2025-07-30,94320,銘柄94320,Unknown,151.1,152.611,149.589,1.0,105052800.0,1,0.18032912396617476,0.48215500499246633,0.16525597383970272,-0.12685076806593948,True,True,True,True,0.0019854401058903015
