analysis_date,next_trade_date,code,company_name,sector,current_price,target_price,stop_loss_price,expected_return,volume,holding_period,prediction_probability,downside_probability,risk_score,composite_score,passed_up,passed_down,passed_risk,passed_all_filters,future_return
2025-07-16,2025-07-17,94320,銘柄94320,Unknown,150.2,151.702,148.69799999999998,1.0,103675200.0,1,0.20513699297800186,0.4890068322735456,0.350361605726174,-0.17951106544924053,True,True,True,True,0.0013315579227697327
2025-07-17,2025-07-18,61460,銘柄61460,Unknown,46970.0,47439.7,46500.3,1.0,6407300.0,1,0.1887512199586933,0.4789608298533333,0.39112789925640984,-0.20718035467053733,True,True,True,True,-0.08792846497764528
2025-07-22,2025-07-23,58030,銘柄58030,Unknown,8443.0,8527.43,8358.57,1.0,20092200.0,1,0.18553395198602426,0.48730831468465463,0.39523181182227657,-0.2162129300852137,True,True,True,True,-0.009949070235698243
2025-07-23,2025-07-24,80350,銘柄80350,Unknown,28020.0,28300.2,27739.8,1.0,4687600.0,1,0.19905171897403115,0.46539602289974435,0.2674987385750002,-0.1406457879058411,True,True,True,True,0.0
2025-07-24,2025-07-25,80350,銘柄80350,Unknown,28020.0,28300.2,27739.8,1.0,3730400.0,1,0.18127286437134765,0.4678050745106194,0.2596163845929388,-0.1564762267211376,True,True,True,True,-0.0021413276231263545
2025-07-25,2025-07-28,94320,銘柄94320,Unknown,152.1,153.621,150.57899999999998,1.0,109777400.0,1,0.1804592656775741,0.4798866246278188,0.15015096457154362,-0.11954443246495275,True,True,True,True,-0.00460223537146609
2025-07-29,2025-07-30,94320,銘柄94320,Unknown,151.1,152.611,149.589,1.0,105052800.0,1,0.18032912396617476,0.48215500499246633,0.16525597383970272,-0.12685076806593948,True,True,True,True,0.0019854401058903015
2025-08-04,2025-08-05,94340,銘柄94340,Unknown,224.0,226.24,221.76,1.0,58492400.0,1,0.19712242430385843,0.48346282628939374,0.17511962960972166,-0.1146568406847271,True,True,True,True,0.015625
2025-08-05,2025-08-06,99840,銘柄99840,Unknown,11890.0,12008.9,11771.1,1.0,5320200.0,1,0.18452690397812704,0.4656138014459865,0.3107409637358025,-0.17257638223918723,True,True,True,True,0.042472666105971335
2025-08-05,2025-08-06,70130,銘柄70130,Unknown,2478.6,2503.386,2453.814,1.0,25368700.0,1,0.18684864786497632,0.4728496284755162,0.32878974004121164,-0.18109206238926645,True,True,True,True,-0.012103746397694515
2025-08-06,2025-08-07,99840,銘柄99840,Unknown,12395.0,12518.95,12271.05,1.0,9109500.0,1,0.18204693176372602,0.49637371577956063,0.3377833568656593,-0.201253268872318,True,True,True,True,0.013311819281968562
2025-08-07,2025-08-08,79740,銘柄79740,Unknown,13755.0,13892.55,13617.45,1.0,5145600.0,1,0.18166771901817674,0.4707447624856041,0.3418663228357801,-0.19045119135893734,True,True,True,True,0.043620501635768916
2025-08-08,2025-08-12,79740,銘柄79740,Unknown,14355.0,14498.55,14211.45,1.0,9143300.0,1,0.18518716983185501,0.49528458304184525,0.25475905059596565,-0.16435874192745387,True,True,True,True,-0.011842563566701547
2025-08-08,2025-08-12,68570,銘柄68570,Unknown,10485.0,10589.85,10380.15,1.0,13606600.0,1,0.18367074569825156,0.4979663732538175,0.2488328910511569,-0.16484559734911997,True,True,True,True,0.06342393896041965
2025-08-12,2025-08-13,94320,銘柄94320,Unknown,163.0,164.63,161.37,1.0,273986500.0,1,0.18671749608778196,0.4910427775115215,0.17730750949329627,-0.12972689646529728,True,True,True,True,-0.0006134969325153339
2025-08-12,2025-08-13,61460,銘柄61460,Unknown,42190.0,42611.9,41768.1,1.0,4334400.0,1,0.20824826389540677,0.49551247788072267,0.36531855222738807,-0.1856353959359098,True,True,True,True,0.015643517421189745
2025-08-13,2025-08-14,94320,銘柄94320,Unknown,162.9,164.529,161.27100000000002,1.0,226825300.0,1,0.19922373674372254,0.47056378629453144,0.27003403699288653,-0.1440717712006978,True,True,True,True,-0.0055248618784530246
2025-08-15,2025-08-18,99830,銘柄99830,Unknown,49240.0,49732.4,48747.6,1.0,1225100.0,1,0.19796997265277297,0.4723308296198183,0.3994764200455159,-0.19798601017534256,True,True,True,True,0.01279447603574324
2025-08-18,2025-08-19,79740,銘柄79740,Unknown,14655.0,14801.55,14508.45,1.0,4388200.0,1,0.1818054849341242,0.46939520547929103,0.21948583556156723,-0.1406864520301482,True,True,True,True,-0.025929716820197846
2025-08-20,2025-08-21,94320,銘柄94320,Unknown,165.0,166.65,163.35,1.0,141400800.0,1,0.1807512758760875,0.473389356033082,0.11733343453282057,-0.10287677595358174,True,True,True,True,-0.012121212121212088
2025-08-22,2025-08-25,94320,銘柄94320,Unknown,162.9,164.529,161.27100000000002,1.0,98308400.0,1,0.20513699297800186,0.47211660991804494,0.32729655405954317,-0.16183993360483787,True,True,True,True,-0.018416206261510082
