analysis_date,next_trade_date,code,company_name,sector,current_price,target_price,stop_loss_price,expected_return,volume,holding_period,prediction_probability,downside_probability,risk_score,composite_score,passed_up,passed_down,passed_risk,passed_all_filters,future_return
2025-09-11,2025-09-12,80350,銘柄80350,Unknown,21405.0,21619.05,21190.95,1.0,3863400.0,1,0.17023691000573177,0.4813646794567858,0.20915455996351617,-0.1541072537080676,True,True,True,True,0.0551273067040412
2025-09-11,2025-09-12,17210,銘柄17210,Unknown,3775.0,3812.75,3737.25,1.0,558200.0,1,0.140001721891543,0.4766409534528486,0.18839184448452714,-0.17367549262869217,True,True,True,True,0.003178807947019857
2025-09-12,2025-09-16,94340,銘柄94340,Unknown,229.4,231.69400000000002,227.106,1.0,60943100.0,1,0.16605797965655075,0.4773103506543702,0.24136546961804506,-0.16914338351785238,True,True,True,True,0.0017436791630340842
2025-09-12,2025-09-16,94320,銘柄94320,Unknown,161.5,163.115,159.885,1.0,151163700.0,1,0.20198479982292158,0.4793988752544506,0.3385326528754317,-0.17312769895447638,True,True,True,True,-0.003095975232198178
2025-09-16,2025-09-17,19250,銘柄19250,Unknown,5452.0,5506.52,5397.48,1.0,1139200.0,1,0.15078410843618031,0.48624114155438847,0.07407281469353998,-0.12196558821842991,True,True,True,True,0.0016507703595010081
2025-09-16,2025-09-17,18080,銘柄18080,Unknown,2533.5,2558.835,2508.165,1.0,715400.0,1,0.1400671033381367,0.48057638858826296,0.13106000153403466,-0.15264509156960865,True,True,True,True,-0.004539175054272704
2025-09-17,2025-09-18,19250,銘柄19250,Unknown,5461.0,5515.61,5406.39,1.0,1129000.0,1,0.15025717469105104,0.47815302007361304,0.1010417064008205,-0.1292360179060837,True,True,True,True,-0.0001831166453030164
2025-09-17,2025-09-18,94340,銘柄94340,Unknown,229.8,232.098,227.502,1.0,54006600.0,1,0.18616576643249144,0.4760932283859059,0.2046617555669172,-0.1337455499872284,True,True,True,True,-0.00435161009573537
2025-09-18,2025-09-19,19250,銘柄19250,Unknown,5460.0,5514.6,5405.4,1.0,1020900.0,1,0.15225987909582625,0.47631127391468814,0.05575204314232969,-0.1081965751184497,True,True,True,True,-0.008424908424908395
2025-09-18,2025-09-19,94320,銘柄94320,Unknown,159.9,161.499,158.30100000000002,1.0,156120500.0,1,0.16824645350620976,0.4881927938693006,0.13973352755446153,-0.13174335445022514,True,True,True,True,-0.011882426516572897
2025-09-19,2025-09-22,94340,銘柄94340,Unknown,228.9,231.18900000000002,226.611,1.0,101176800.0,1,0.19523663405616706,0.4804288691615589,0.08336830480964408,-0.07832512244847004,True,True,True,True,-0.013106159895150737
2025-09-19,2025-09-22,94320,銘柄94320,Unknown,158.0,159.58,156.42,1.0,318034200.0,1,0.1821793512872315,0.49992258868071077,0.16891807175937065,-0.13534917175687214,True,True,True,True,0.0012658227848101333
2025-09-22,2025-09-24,19250,銘柄19250,Unknown,5406.0,5460.06,5351.94,1.0,924200.0,1,0.14892738017112994,0.4871564626780411,0.11766322110321796,-0.14171613960917778,True,True,True,True,0.0
2025-09-22,2025-09-24,94320,銘柄94320,Unknown,158.2,159.78199999999998,156.618,1.0,140157800.0,1,0.17094719127550734,0.4955050497877055,0.16363918803019223,-0.1422610088304223,True,True,True,True,-0.0018963337547407422
2025-09-24,2025-09-25,19250,銘柄19250,Unknown,5406.0,5460.06,5351.94,1.0,1437500.0,1,0.15338141582692869,0.487271524755258,0.1077961751765333,-0.13337281662131362,True,True,True,True,0.00036995930447658587
2025-09-24,2025-09-25,94320,銘柄94320,Unknown,157.9,159.479,156.321,1.0,179168100.0,1,0.1752511522755693,0.4982303433379096,0.14922500512625242,-0.13355402144388645,True,True,True,True,0.002533248891703588
2025-09-25,2025-09-26,94340,銘柄94340,Unknown,226.9,229.169,224.631,1.0,65815300.0,1,0.19597981803896847,0.485421038687466,0.18419565935114113,-0.12040896504522099,True,True,True,True,0.011458792419568153
2025-09-25,2025-09-26,19250,銘柄19250,Unknown,5408.0,5462.08,5353.92,1.0,1323500.0,1,0.15287823644789156,0.48767783449876123,0.0990809529725009,-0.13059306199048942,True,True,True,True,0.01941568047337272
2025-09-26,2025-09-29,94320,銘柄94320,Unknown,159.1,160.691,157.509,1.0,202832600.0,1,0.16817079180073777,0.47660644316624695,0.1686479384277189,-0.1375916051534733,True,True,True,True,-0.023255813953488302
2025-09-26,2025-09-29,71860,銘柄71860,Unknown,1168.0,1179.68,1156.32,1.0,3853900.0,1,0.14321782882929013,0.48024585414829,0.14211817935863535,-0.15375236998830902,True,True,True,True,-0.02996575342465757
2025-09-29,2025-09-30,63670,銘柄63670,Unknown,17115.0,17286.15,16943.85,1.0,1050000.0,1,0.14262316147492646,0.49854698853775103,0.29522310818061986,-0.22473957606619702,True,True,True,True,-0.002044989775051076
2025-09-29,2025-09-30,19630,銘柄19630,Unknown,1506.5,1521.565,1491.435,1.0,875600.0,1,0.14548224533045007,0.49336912121934995,0.3496852588025428,-0.24107641880024203,True,True,True,True,0.0023232658479921398
2025-09-30,2025-10-01,99830,銘柄99830,Unknown,45040.0,45490.4,44589.6,1.0,1124100.0,1,0.15284555122579402,0.49179575950239734,0.23293296913744996,-0.18622551618038463,True,True,True,True,0.005550621669627054
2025-10-01,2025-10-02,77410,銘柄77410,Unknown,20580.0,20785.8,20374.2,1.0,1017900.0,1,0.14154723042829495,0.4809471826706946,0.2835522017855289,-0.21234724162126392,True,True,True,True,0.03449951409135088
2025-10-02,2025-10-03,99830,銘柄99830,Unknown,44810.0,45258.1,44361.9,1.0,1234900.0,1,0.1749689134722858,0.49454113199515415,0.1858543584858686,-0.1466433959196387,True,True,True,True,0.014505690694041506
2025-10-03,2025-10-06,94320,銘柄94320,Unknown,154.6,156.146,153.054,1.0,127111200.0,1,0.1744708678534563,0.4821051334119851,0.3405460846255443,-0.20280013270275396,True,True,True,True,0.010349288486416475
2025-10-03,2025-10-06,13330,銘柄13330,Unknown,3378.0,3411.78,3344.22,1.0,147100.0,1,0.14633733190214301,0.4972857435451249,0.256173739318187,-0.20477503559769422,True,True,True,True,0.01272942569567781
2025-10-06,2025-10-07,94320,銘柄94320,Unknown,156.2,157.762,154.63799999999998,1.0,195874900.0,1,0.1701699930350239,0.47711744283359464,0.22114368936845466,-0.1568462041291553,True,True,True,True,-0.007042253521126751
2025-10-06,2025-10-07,13320,銘柄13320,Unknown,1049.0,1059.49,1038.51,1.0,1392500.0,1,0.16088358720999565,0.47715830526833913,0.25616552309229274,-0.180161774661091,True,True,True,True,0.011916110581506212
2025-10-07,2025-10-08,94320,銘柄94320,Unknown,155.1,156.65099999999998,153.549,1.0,240888100.0,1,0.16824645350620976,0.48543916699405665,0.22005624159656356,-0.162495626629444,True,True,True,True,-0.008381689232752954
2025-10-07,2025-10-08,71860,銘柄71860,Unknown,1109.5,1120.595,1098.405,1.0,2927500.0,1,0.14179302344346303,0.4959195746291576,0.30327774015561454,-0.2274778599333616,True,True,True,True,0.018927444794952786
2025-10-08,2025-10-09,13330,銘柄13330,Unknown,3460.0,3494.6,3425.4,1.0,190100.0,1,0.14711546124176839,0.47879537271525857,0.18714068828118918,-0.16713850042833656,True,True,True,True,-0.010115606936416222
2025-10-08,2025-10-09,94320,銘柄94320,Unknown,153.8,155.33800000000002,152.262,1.0,207731700.0,1,0.17090563593477712,0.4933786961774033,0.24665631745833588,-0.1744462391372589,True,True,True,True,-0.005201560468140465
2025-10-09,2025-10-10,94340,銘柄94340,Unknown,216.3,218.46300000000002,214.137,1.0,60014700.0,1,0.167259345993624,0.4799867709821322,0.24289868467877102,-0.16989351336895053,True,True,True,True,-0.006472491909385147
2025-10-09,2025-10-10,94320,銘柄94320,Unknown,153.0,154.53,151.47,1.0,190625800.0,1,0.17005000738041798,0.4983299406689197,0.23715878453698805,-0.1739784767688371,True,True,True,True,-0.0013071895424835445
2025-10-10,2025-10-14,94340,銘柄94340,Unknown,214.9,217.049,212.751,1.0,61246900.0,1,0.1680381763528018,0.48712433598057775,0.20500037400347706,-0.15752414123887792,True,True,True,True,
2025-10-10,2025-10-14,13330,銘柄13330,Unknown,3387.0,3420.87,3353.13,1.0,148700.0,1,0.14979159055142252,0.49883219083098623,0.27776312852703283,-0.21072975627488372,True,True,True,True,
