analysis_date,next_trade_date,code,company_name,sector,current_price,target_price,stop_loss_price,expected_return,volume,holding_period,prediction_probability,downside_probability,risk_score,composite_score,passed_up,passed_down,passed_risk,passed_all_filters,future_return
2025-07-15,2025-07-16,13330,銘柄13330,Unknown,3060.0,3090.6,3029.4,1.0,151200.0,1,0.16158737849497531,0.4718524970277828,0.10351710883263857,-0.11574571355197152,True,True,True,True,0.00032679738562091387
2025-07-15,2025-07-16,68570,銘柄68570,Unknown,11720.0,11837.2,11602.8,1.0,13936800.0,1,0.16576668447342444,0.48097378454380324,0.1718186276186796,-0.143447658845949,True,True,True,True,0.006399317406143412
2025-07-16,2025-07-17,13330,銘柄13330,Unknown,3061.0,3091.61,3030.39,1.0,150200.0,1,0.16212520580139828,0.4737439214974804,0.10808619252219022,-0.11798123195621801,True,True,True,True,-0.003920287487749086
2025-07-16,2025-07-17,13320,銘柄13320,Unknown,874.5,883.245,865.755,1.0,932600.0,1,0.14739224393074088,0.48493208884301503,0.09666453535247468,-0.13373961463175651,True,True,True,True,-0.00022870211549463892
2025-07-17,2025-07-18,17210,銘柄17210,Unknown,3461.0,3495.61,3426.39,1.0,354700.0,1,0.14995170764907667,0.4623572073171937,0.0921025961323207,-0.11806793446244847,True,True,True,True,-0.010690551863623221
2025-07-17,2025-07-18,94340,銘柄94340,Unknown,218.4,220.584,216.216,1.0,34946700.0,1,0.15435568224687288,0.4673125935946231,0.10036061709904688,-0.11944486139005744,True,True,True,True,0.0009157509157509125
2025-07-18,2025-07-22,94340,銘柄94340,Unknown,218.6,220.786,216.414,1.0,36504300.0,1,0.15418721197801843,0.47605644786608736,0.08573459903034371,-0.11813485156716273,True,True,True,True,-0.0054894784995425105
2025-07-18,2025-07-22,13330,銘柄13330,Unknown,3067.0,3097.67,3036.33,1.0,165800.0,1,0.16155658325630032,0.4832391229710409,0.0998152751556586,-0.11998908829148357,True,True,True,True,-0.00619497880665143
2025-07-22,2025-07-23,94320,銘柄94320,Unknown,150.0,151.5,148.5,1.0,122919500.0,1,0.17463312095116998,0.4922449243114899,0.18032262199132343,-0.14361839000110435,True,True,True,True,0.012666666666666604
2025-07-22,2025-07-23,94340,銘柄94340,Unknown,217.4,219.574,215.226,1.0,47788100.0,1,0.15575495268574827,0.498954507306037,0.18690532882344832,-0.16848443249664957,True,True,True,True,0.0050597976080957174
2025-07-23,2025-07-24,94340,銘柄94340,Unknown,218.5,220.685,216.315,1.0,72881800.0,1,0.1662454891953236,0.4931131191174843,0.09164728771655715,-0.11696998545004142,True,True,True,True,0.00594965675057213
2025-07-23,2025-07-24,94320,銘柄94320,Unknown,151.9,153.419,150.381,1.0,195837000.0,1,0.16953540017456112,0.4923730704445656,0.12930568092633002,-0.12837340741825368,True,True,True,True,0.005266622778143493
2025-07-24,2025-07-25,94320,銘柄94320,Unknown,152.7,154.227,151.17299999999997,1.0,109680500.0,1,0.1729803298656261,0.46531084783029386,0.14608568008877174,-0.11810936608502953,True,True,True,True,-0.003929273084479323
2025-07-24,2025-07-25,94340,銘柄94340,Unknown,219.8,221.99800000000002,217.602,1.0,50795400.0,1,0.15397100226569133,0.4750886807575476,0.10358718763024058,-0.1250082131651787,True,True,True,True,-0.007279344858962755
