profit_target,stop_loss,max_holding_days,total_return,total_return_pct,final_value,max_drawdown,sharpe_ratio,win_rate,total_trades,avg_return_per_trade,avg_holding_days,profit_factor,risk_adjusted_return
0.01,0.005,1,1980680378.023474,1980.680378023474,1981680378.023474,-0.05918034307868975,8.476958443810654,0.6717575757575758,4125,614432.3372937286,1.4,2.4443186129944805,28630.68163409558
0.015,0.005,1,1980680378.023474,1980.680378023474,1981680378.023474,-0.05918034307868975,8.476958443810654,0.6717575757575758,4125,614432.3372937286,1.4,2.4443186129944805,28630.68163409558
0.015,0.01,1,1980680378.023474,1980.680378023474,1981680378.023474,-0.05918034307868975,8.476958443810654,0.6717575757575758,4125,614432.3372937286,1.4,2.4443186129944805,28630.68163409558
0.019999999999999997,0.005,1,1980680378.023474,1980.680378023474,1981680378.023474,-0.05918034307868975,8.476958443810654,0.6717575757575758,4125,614432.3372937286,1.4,2.4443186129944805,28630.68163409558
0.019999999999999997,0.01,1,1980680378.023474,1980.680378023474,1981680378.023474,-0.05918034307868975,8.476958443810654,0.6717575757575758,4125,614432.3372937286,1.4,2.4443186129944805,28630.68163409558
0.019999999999999997,0.015,1,1980680378.023474,1980.680378023474,1981680378.023474,-0.05918034307868975,8.476958443810654,0.6717575757575758,4125,614432.3372937286,1.4,2.4443186129944805,28630.68163409558
0.024999999999999998,0.005,1,1980680378.023474,1980.680378023474,1981680378.023474,-0.05918034307868975,8.476958443810654,0.6717575757575758,4125,614432.3372937286,1.4,2.4443186129944805,28630.68163409558
0.024999999999999998,0.01,1,1980680378.023474,1980.680378023474,1981680378.023474,-0.05918034307868975,8.476958443810654,0.6717575757575758,4125,614432.3372937286,1.4,2.4443186129944805,28630.68163409558
0.024999999999999998,0.015,1,1980680378.023474,1980.680378023474,1981680378.023474,-0.05918034307868975,8.476958443810654,0.6717575757575758,4125,614432.3372937286,1.4,2.4443186129944805,28630.68163409558
0.024999999999999998,0.02,1,1980680378.023474,1980.680378023474,1981680378.023474,-0.05918034307868975,8.476958443810654,0.6717575757575758,4125,614432.3372937286,1.4,2.4443186129944805,28630.68163409558
0.03,0.005,1,1980680378.023474,1980.680378023474,1981680378.023474,-0.05918034307868975,8.476958443810654,0.6717575757575758,4125,614432.3372937286,1.4,2.4443186129944805,28630.68163409558
0.03,0.01,1,1980680378.023474,1980.680378023474,1981680378.023474,-0.05918034307868975,8.476958443810654,0.6717575757575758,4125,614432.3372937286,1.4,2.4443186129944805,28630.68163409558
0.03,0.015,1,1980680378.023474,1980.680378023474,1981680378.023474,-0.05918034307868975,8.476958443810654,0.6717575757575758,4125,614432.3372937286,1.4,2.4443186129944805,28630.68163409558
0.03,0.02,1,1980680378.023474,1980.680378023474,1981680378.023474,-0.05918034307868975,8.476958443810654,0.6717575757575758,4125,614432.3372937286,1.4,2.4443186129944805,28630.68163409558
0.03,0.025,1,1980680378.023474,1980.680378023474,1981680378.023474,-0.05918034307868975,8.476958443810654,0.6717575757575758,4125,614432.3372937286,1.4,2.4443186129944805,28630.68163409558
0.034999999999999996,0.005,1,1980680378.023474,1980.680378023474,1981680378.023474,-0.05918034307868975,8.476958443810654,0.6717575757575758,4125,614432.3372937286,1.4,2.4443186129944805,28630.68163409558
0.034999999999999996,0.01,1,1980680378.023474,1980.680378023474,1981680378.023474,-0.05918034307868975,8.476958443810654,0.6717575757575758,4125,614432.3372937286,1.4,2.4443186129944805,28630.68163409558
0.034999999999999996,0.015,1,1980680378.023474,1980.680378023474,1981680378.023474,-0.05918034307868975,8.476958443810654,0.6717575757575758,4125,614432.3372937286,1.4,2.4443186129944805,28630.68163409558
0.034999999999999996,0.02,1,1980680378.023474,1980.680378023474,1981680378.023474,-0.05918034307868975,8.476958443810654,0.6717575757575758,4125,614432.3372937286,1.4,2.4443186129944805,28630.68163409558
0.034999999999999996,0.025,1,1980680378.023474,1980.680378023474,1981680378.023474,-0.05918034307868975,8.476958443810654,0.6717575757575758,4125,614432.3372937286,1.4,2.4443186129944805,28630.68163409558
0.034999999999999996,0.030000000000000002,1,1980680378.023474,1980.680378023474,1981680378.023474,-0.05918034307868975,8.476958443810654,0.6717575757575758,4125,614432.3372937286,1.4,2.4443186129944805,28630.68163409558
0.039999999999999994,0.005,1,1980680378.023474,1980.680378023474,1981680378.023474,-0.05918034307868975,8.476958443810654,0.6717575757575758,4125,614432.3372937286,1.4,2.4443186129944805,28630.68163409558
0.039999999999999994,0.01,1,1980680378.023474,1980.680378023474,1981680378.023474,-0.05918034307868975,8.476958443810654,0.6717575757575758,4125,614432.3372937286,1.4,2.4443186129944805,28630.68163409558
0.039999999999999994,0.015,1,1980680378.023474,1980.680378023474,1981680378.023474,-0.05918034307868975,8.476958443810654,0.6717575757575758,4125,614432.3372937286,1.4,2.4443186129944805,28630.68163409558
0.039999999999999994,0.02,1,1980680378.023474,1980.680378023474,1981680378.023474,-0.05918034307868975,8.476958443810654,0.6717575757575758,4125,614432.3372937286,1.4,2.4443186129944805,28630.68163409558
0.039999999999999994,0.025,1,1980680378.023474,1980.680378023474,1981680378.023474,-0.05918034307868975,8.476958443810654,0.6717575757575758,4125,614432.3372937286,1.4,2.4443186129944805,28630.68163409558
0.039999999999999994,0.030000000000000002,1,1980680378.023474,1980.680378023474,1981680378.023474,-0.05918034307868975,8.476958443810654,0.6717575757575758,4125,614432.3372937286,1.4,2.4443186129944805,28630.68163409558
