initial_capital,final_equity,total_return,cagr,sharpe_ratio,max_drawdown,num_trades,win_rate,avg_trade_return,median_trade_return,avg_holding_days,scenario_id,position_size,max_positions,profit_target,stop_loss,slippage,transaction_cost,entry_delay_days
1000000.0,1024051.0877168201,0.024051087716820074,0.002456571128134799,0.4602246857782795,-0.0015173426683754432,1,1.0,0.08891054472763636,0.08891054472763636,5.0,pt0p09_sl0p04_slip0p0005_tc0p0005_delay0_ps150000_mp3,150000.0,3,0.09,0.04,0.0005,0.0005,0
1000000.0,1023749.9570736398,0.023749957073639916,0.00242613503350797,0.4595003680106049,-0.0015176730421637696,1,1.0,0.08891054472763636,0.08891054472763636,5.0,pt0p09_sl0p04_slip0p0005_tc0p001_delay0_ps150000_mp3,150000.0,3,0.09,0.04,0.0005,0.001,0
1000000.0,1023448.8264304601,0.02344882643045998,0.0023956909094411394,0.4587233309453924,-0.0015180035598491015,1,1.0,0.08673489765351977,0.08673489765351977,5.0,pt0p09_sl0p04_slip0p0015_tc0p0005_delay0_ps150000_mp3,150000.0,3,0.09,0.04,0.0015,0.0005,0
1000000.0,1023147.55778092,0.023147557780919925,0.002365224793569709,0.45788929875939344,-0.0015183345520941582,1,1.0,0.08673489765351977,0.08673489765351977,5.0,pt0p09_sl0p04_slip0p0015_tc0p001_delay0_ps150000_mp3,150000.0,3,0.09,0.04,0.0015,0.001,0
1000000.0,1020712.35111475,0.020712351114750005,0.002118666148870796,0.38377485592596566,0.0,0,0.0,0.0,0.0,0.0,pt0p07_sl0p05_slip0p0005_tc0p0005_delay2_ps150000_mp3,150000.0,3,0.07,0.05,0.0005,0.0005,2
1000000.0,1020712.35111475,0.020712351114750005,0.002118666148870796,0.38377485592596566,0.0,0,0.0,0.0,0.0,0.0,pt0p09_sl0p04_slip0p0005_tc0p0005_delay2_ps150000_mp3,150000.0,3,0.09,0.04,0.0005,0.0005,2
1000000.0,1020712.35111475,0.020712351114750005,0.002118666148870796,0.38377485592596566,0.0,0,0.0,0.0,0.0,0.0,pt0p07_sl0p04_slip0p0005_tc0p0005_delay2_ps150000_mp3,150000.0,3,0.07,0.04,0.0005,0.0005,2
1000000.0,1020496.4727295,0.02049647272950006,0.0020967835503500343,0.3807604634381554,0.0,0,0.0,0.0,0.0,0.0,pt0p07_sl0p05_slip0p0005_tc0p001_delay2_ps150000_mp3,150000.0,3,0.07,0.05,0.0005,0.001,2
1000000.0,1020496.4727295,0.02049647272950006,0.0020967835503500343,0.3807604634381554,0.0,0,0.0,0.0,0.0,0.0,pt0p07_sl0p04_slip0p0005_tc0p001_delay2_ps150000_mp3,150000.0,3,0.07,0.04,0.0005,0.001,2
1000000.0,1020496.4727295,0.02049647272950006,0.0020967835503500343,0.3807604634381554,0.0,0,0.0,0.0,0.0,0.0,pt0p09_sl0p04_slip0p0005_tc0p001_delay2_ps150000_mp3,150000.0,3,0.09,0.04,0.0005,0.001,2
1000000.0,1020280.59434425,0.020280594344250114,0.0020748968002268775,0.3776740515551695,0.0,0,0.0,0.0,0.0,0.0,pt0p07_sl0p05_slip0p0015_tc0p0005_delay2_ps150000_mp3,150000.0,3,0.07,0.05,0.0015,0.0005,2
1000000.0,1020280.59434425,0.020280594344250114,0.0020748968002268775,0.3776740515551695,0.0,0,0.0,0.0,0.0,0.0,pt0p09_sl0p04_slip0p0015_tc0p0005_delay2_ps150000_mp3,150000.0,3,0.09,0.04,0.0015,0.0005,2
1000000.0,1020280.59434425,0.020280594344250114,0.0020748968002268775,0.3776740515551695,0.0,0,0.0,0.0,0.0,0.0,pt0p07_sl0p04_slip0p0015_tc0p0005_delay2_ps150000_mp3,150000.0,3,0.07,0.04,0.0015,0.0005,2
1000000.0,1020064.5001885,0.020064500188500034,0.0020529840147938128,0.3745129417815349,0.0,0,0.0,0.0,0.0,0.0,pt0p09_sl0p04_slip0p0015_tc0p001_delay2_ps150000_mp3,150000.0,3,0.09,0.04,0.0015,0.001,2
1000000.0,1020064.5001885,0.020064500188500034,0.0020529840147938128,0.3745129417815349,0.0,0,0.0,0.0,0.0,0.0,pt0p07_sl0p04_slip0p0015_tc0p001_delay2_ps150000_mp3,150000.0,3,0.07,0.04,0.0015,0.001,2
