initial_capital,final_equity,total_return,cagr,sharpe_ratio,max_drawdown,num_trades,win_rate,avg_trade_return,median_trade_return,avg_holding_days,scenario_id,position_size,max_positions,profit_target,stop_loss,slippage,transaction_cost,entry_delay_days
1000000.0,1053113.5642720053,0.05311356427200531,0.0843727222402415,2.3833735074023066,-0.00895070523835284,10,0.9,0.03705560528391279,0.04895052473763127,6.7,pt0p05_sl0p04_slip0p0005_tc0p0005_delay0_ps150000_mp3,150000.0,3,0.05,0.04,0.0005,0.0005,0
1000000.0,1051629.9290207254,0.051629929020725385,0.08198253344813433,2.2722097522664604,-0.010426251331165703,10,0.9,0.036056604784162664,0.04895052473763127,6.7,pt0p05_sl0p05_slip0p0005_tc0p0005_delay0_ps150000_mp3,150000.0,3,0.05,0.05,0.0005,0.0005,0
1000000.0,1051381.28805401,0.05138128805400988,0.08158215043634653,2.3265535539780178,-0.009098055997986965,10,0.9,0.03705560528391279,0.04895052473763127,6.7,pt0p05_sl0p04_slip0p0005_tc0p001_delay0_ps150000_mp3,150000.0,3,0.05,0.04,0.0005,0.001,0
1000000.0,1049898.39499145,0.04989839499144999,0.07919538034343021,2.2147273438874593,-0.010573188149661572,10,0.9,0.036056604784162664,0.04895052473763127,6.7,pt0p05_sl0p05_slip0p0005_tc0p001_delay0_ps150000_mp3,150000.0,3,0.05,0.05,0.0005,0.001,0
1000000.0,1049584.7058834773,0.0495847058834773,0.07869073039209695,2.2663537807824126,-0.00924547155489075,10,0.9,0.034983564560038184,0.046854717923115304,6.7,pt0p05_sl0p04_slip0p0015_tc0p0005_delay0_ps150000_mp3,150000.0,3,0.05,0.04,0.0015,0.0005,0
1000000.0,1048102.5550096374,0.04810255500963745,0.07630746095537533,2.153922881110366,-0.010720189583397155,10,0.9,0.03398656006677807,0.046854717923115304,6.7,pt0p05_sl0p05_slip0p0015_tc0p0005_delay0_ps150000_mp3,150000.0,3,0.05,0.05,0.0015,0.0005,0
1000000.0,1047853.6722219548,0.04785367222195469,0.07590744901827784,2.205438720742828,-0.009392957574101524,10,0.9,0.034983564560038184,0.046854717923115304,6.7,pt0p05_sl0p04_slip0p0015_tc0p001_delay0_ps150000_mp3,150000.0,3,0.05,0.04,0.0015,0.001,0
1000000.0,1046372.262794275,0.046372262794274866,0.07352759424704747,2.0926196863643,-0.010867262360359398,10,0.9,0.03398656006677807,0.046854717923115304,6.7,pt0p05_sl0p05_slip0p0015_tc0p001_delay0_ps150000_mp3,150000.0,3,0.05,0.05,0.0015,0.001,0
1000000.0,1044630.1491641664,0.04463014916416652,0.07073135906251915,2.6521190037365736,-0.005667283097414599,9,0.8888888888888888,0.036727145128908234,0.048950524737631285,6.555555555555555,pt0p05_sl0p04_slip0p0005_tc0p0005_delay2_ps150000_mp3,150000.0,3,0.05,0.04,0.0005,0.0005,2
1000000.0,1043148.5918334062,0.04314859183340625,0.06835541095325226,2.5174543258881514,-0.007082741545969329,9,0.8888888888888888,0.0356171445736303,0.048950524737631285,6.555555555555555,pt0p05_sl0p05_slip0p0005_tc0p0005_delay2_ps150000_mp3,150000.0,3,0.05,0.05,0.0005,0.0005,2
1000000.0,1043046.842160833,0.04304684216083299,0.06819230669826393,2.604996721646906,-0.005812845281500834,9,0.8888888888888888,0.036727145128908234,0.048950524737631285,6.555555555555555,pt0p05_sl0p04_slip0p0005_tc0p001_delay2_ps150000_mp3,150000.0,3,0.05,0.04,0.0005,0.001,2
1000000.0,1041566.025979313,0.041566025979312915,0.06581958320256875,2.466895702548744,-0.007229335314986707,9,0.8888888888888888,0.0356171445736303,0.048950524737631285,6.555555555555555,pt0p05_sl0p05_slip0p0005_tc0p001_delay2_ps150000_mp3,150000.0,3,0.05,0.05,0.0005,0.001,2
1000000.0,1041463.5351574988,0.04146353515749879,0.06565543185484302,2.554945803971026,-0.005958765891610374,9,0.8888888888888888,0.034655760669571316,0.04685471792311532,6.555555555555555,pt0p05_sl0p04_slip0p0015_tc0p0005_delay2_ps150000_mp3,150000.0,3,0.05,0.04,0.0015,0.0005,2
1000000.0,1039983.4601252187,0.039983460125218695,0.06328593227880464,2.4134437366035892,-0.007376290050157386,9,0.8888888888888888,0.033547977899282294,0.04685471792311532,6.555555555555555,pt0p05_sl0p05_slip0p0015_tc0p0005_delay2_ps150000_mp3,150000.0,3,0.05,0.05,0.0015,0.0005,2
