selected_count,valid_count,precision,avg_return,avg_net_return,median_return,hit_count,fallback_count,days_with_signals,threshold_up,threshold_down,threshold_risk,weight_up,weight_down,weight_risk,coverage_rate,total_days,fallback_min_passed_ratio,fallback_max_per_sector,weighted_score
24,23,0.21739130434782608,0.00032856162950525966,0.00032856162950525966,-0.0018963337547407422,5,20,20,0.2,0.5,0.4,1.0,0.5,0.4,1.0,20,0.45,1,0.2305333510975473
24,23,0.21739130434782608,0.00032856162950525966,0.00032856162950525966,-0.0018963337547407422,5,20,20,0.2,0.5,0.4,1.0,0.5,0.4,1.0,20,0.5,1,0.2305333510975473
24,23,0.21739130434782608,0.00032856162950525966,0.00032856162950525966,-0.0018963337547407422,5,20,20,0.2,0.5,0.4,1.0,0.5,0.4,1.0,20,0.55,1,0.2305333510975473
24,23,0.21739130434782608,0.00032856162950525966,0.00032856162950525966,-0.0018963337547407422,5,20,20,0.2,0.5,0.4,1.0,0.5,0.4,1.0,20,0.6,1,0.2305333510975473
24,23,0.21739130434782608,0.00032856162950525966,0.00032856162950525966,-0.0018963337547407422,5,20,20,0.2,0.5,0.45,1.0,0.5,0.4,1.0,20,0.45,1,0.2305333510975473
24,23,0.21739130434782608,0.00032856162950525966,0.00032856162950525966,-0.0018963337547407422,5,20,20,0.2,0.5,0.45,1.0,0.5,0.4,1.0,20,0.5,1,0.2305333510975473
24,23,0.21739130434782608,0.00032856162950525966,0.00032856162950525966,-0.0018963337547407422,5,20,20,0.2,0.5,0.45,1.0,0.5,0.4,1.0,20,0.55,1,0.2305333510975473
24,23,0.21739130434782608,0.00032856162950525966,0.00032856162950525966,-0.0018963337547407422,5,20,20,0.2,0.5,0.45,1.0,0.5,0.4,1.0,20,0.6,1,0.2305333510975473
24,23,0.21739130434782608,0.00032856162950525966,0.00032856162950525966,-0.0018963337547407422,5,20,20,0.2,0.52,0.4,1.0,0.5,0.4,1.0,20,0.45,1,0.2305333510975473
24,23,0.21739130434782608,0.00032856162950525966,0.00032856162950525966,-0.0018963337547407422,5,20,20,0.2,0.52,0.4,1.0,0.5,0.4,1.0,20,0.5,1,0.2305333510975473
24,23,0.21739130434782608,0.00032856162950525966,0.00032856162950525966,-0.0018963337547407422,5,20,20,0.2,0.52,0.4,1.0,0.5,0.4,1.0,20,0.55,1,0.2305333510975473
24,23,0.21739130434782608,0.00032856162950525966,0.00032856162950525966,-0.0018963337547407422,5,20,20,0.2,0.52,0.4,1.0,0.5,0.4,1.0,20,0.6,1,0.2305333510975473
24,23,0.21739130434782608,0.00032856162950525966,0.00032856162950525966,-0.0018963337547407422,5,20,20,0.2,0.52,0.45,1.0,0.5,0.4,1.0,20,0.45,1,0.2305333510975473
