scenario,threshold_up,threshold_down,threshold_risk,fallback_max,fallback_min_passed_all,fallback_min_passed_ratio,selected_total,coverage,precision,avg_return
up0.18_down0.52_risk0.40_fbNone_min3_ratio0.4,0.18,0.52,0.4,,3.0,0.4,69,0.4583333333333333,0.38235294117647056,0.004154819337861805
up0.18_down0.52_risk0.40_fbNone_min3_ratio0.45,0.18,0.52,0.4,,3.0,0.45,69,0.4583333333333333,0.38235294117647056,0.004154819337861805
up0.18_down0.52_risk0.40_fbNone_min3_ratio0.5,0.18,0.52,0.4,,3.0,0.5,69,0.4583333333333333,0.38235294117647056,0.004154819337861805
up0.18_down0.52_risk0.40_fb1_minNone_ratioNone,0.18,0.52,0.4,1.0,,,175,1.0,0.24277456647398843,0.001424624647994128
up0.18_down0.52_risk0.40_fb1_minNone_ratio0.4,0.18,0.52,0.4,1.0,,0.4,175,1.0,0.24277456647398843,0.001424624647994128
up0.18_down0.52_risk0.40_fb1_minNone_ratio0.45,0.18,0.52,0.4,1.0,,0.45,175,1.0,0.24277456647398843,0.001424624647994128
up0.18_down0.52_risk0.40_fb1_minNone_ratio0.5,0.18,0.52,0.4,1.0,,0.5,175,1.0,0.24277456647398843,0.001424624647994128
up0.18_down0.52_risk0.40_fb1_min2_ratioNone,0.18,0.52,0.4,1.0,2.0,,175,1.0,0.24277456647398843,0.001424624647994128
up0.18_down0.52_risk0.40_fb1_min2_ratio0.4,0.18,0.52,0.4,1.0,2.0,0.4,175,1.0,0.24277456647398843,0.001424624647994128
up0.18_down0.52_risk0.40_fb1_min2_ratio0.45,0.18,0.52,0.4,1.0,2.0,0.45,175,1.0,0.24277456647398843,0.001424624647994128
up0.18_down0.52_risk0.40_fb1_min2_ratio0.5,0.18,0.52,0.4,1.0,2.0,0.5,175,1.0,0.24277456647398843,0.001424624647994128
up0.18_down0.52_risk0.40_fb1_min3_ratioNone,0.18,0.52,0.4,1.0,3.0,,175,1.0,0.24277456647398843,0.001424624647994128
up0.18_down0.52_risk0.40_fb1_min3_ratio0.4,0.18,0.52,0.4,1.0,3.0,0.4,175,1.0,0.24277456647398843,0.001424624647994128
up0.18_down0.52_risk0.40_fb1_min3_ratio0.45,0.18,0.52,0.4,1.0,3.0,0.45,175,1.0,0.24277456647398843,0.001424624647994128
up0.18_down0.52_risk0.40_fb1_min3_ratio0.5,0.18,0.52,0.4,1.0,3.0,0.5,175,1.0,0.24277456647398843,0.001424624647994128
up0.18_down0.52_risk0.45_fbNone_minNone_ratioNone,0.18,0.52,0.45,,,,78,0.475,0.4025974025974026,0.004079525474914519
up0.18_down0.52_risk0.45_fbNone_minNone_ratio0.4,0.18,0.52,0.45,,,0.4,78,0.475,0.4025974025974026,0.004079525474914519
up0.18_down0.52_risk0.45_fbNone_minNone_ratio0.45,0.18,0.52,0.45,,,0.45,78,0.475,0.4025974025974026,0.004079525474914519
up0.18_down0.52_risk0.45_fbNone_minNone_ratio0.5,0.18,0.52,0.45,,,0.5,78,0.475,0.4025974025974026,0.004079525474914519
up0.18_down0.52_risk0.45_fbNone_min2_ratioNone,0.18,0.52,0.45,,2.0,,78,0.475,0.4025974025974026,0.004079525474914519
up0.18_down0.52_risk0.45_fbNone_min2_ratio0.4,0.18,0.52,0.45,,2.0,0.4,78,0.475,0.4025974025974026,0.004079525474914519
up0.18_down0.52_risk0.45_fbNone_min2_ratio0.45,0.18,0.52,0.45,,2.0,0.45,78,0.475,0.4025974025974026,0.004079525474914519
up0.18_down0.52_risk0.45_fbNone_min2_ratio0.5,0.18,0.52,0.45,,2.0,0.5,78,0.475,0.4025974025974026,0.004079525474914519
up0.18_down0.52_risk0.45_fbNone_min3_ratioNone,0.18,0.52,0.45,,3.0,,78,0.475,0.4025974025974026,0.004079525474914519
up0.18_down0.52_risk0.45_fbNone_min3_ratio0.4,0.18,0.52,0.45,,3.0,0.4,78,0.475,0.4025974025974026,0.004079525474914519
up0.18_down0.52_risk0.45_fbNone_min3_ratio0.45,0.18,0.52,0.45,,3.0,0.45,78,0.475,0.4025974025974026,0.004079525474914519
up0.18_down0.52_risk0.45_fbNone_min3_ratio0.5,0.18,0.52,0.45,,3.0,0.5,78,0.475,0.4025974025974026,0.004079525474914519
up0.18_down0.52_risk0.45_fb1_minNone_ratioNone,0.18,0.52,0.45,1.0,,,177,1.0,0.25142857142857145,0.0012552553268030055
up0.18_down0.52_risk0.45_fb1_minNone_ratio0.4,0.18,0.52,0.45,1.0,,0.4,177,1.0,0.25142857142857145,0.0012552553268030055
up0.18_down0.52_risk0.45_fb1_minNone_ratio0.45,0.18,0.52,0.45,1.0,,0.45,177,1.0,0.25142857142857145,0.0012552553268030055
up0.18_down0.52_risk0.45_fb1_minNone_ratio0.5,0.18,0.52,0.45,1.0,,0.5,177,1.0,0.25142857142857145,0.0012552553268030055
up0.18_down0.52_risk0.45_fb1_min2_ratioNone,0.18,0.52,0.45,1.0,2.0,,177,1.0,0.25142857142857145,0.0012552553268030055
up0.18_down0.52_risk0.45_fb1_min2_ratio0.4,0.18,0.52,0.45,1.0,2.0,0.4,177,1.0,0.25142857142857145,0.0012552553268030055
up0.18_down0.52_risk0.45_fb1_min2_ratio0.45,0.18,0.52,0.45,1.0,2.0,0.45,177,1.0,0.25142857142857145,0.0012552553268030055
up0.18_down0.52_risk0.45_fb1_min2_ratio0.5,0.18,0.52,0.45,1.0,2.0,0.5,177,1.0,0.25142857142857145,0.0012552553268030055
up0.18_down0.52_risk0.45_fb1_min3_ratioNone,0.18,0.52,0.45,1.0,3.0,,177,1.0,0.25142857142857145,0.0012552553268030055
up0.18_down0.52_risk0.45_fb1_min3_ratio0.4,0.18,0.52,0.45,1.0,3.0,0.4,177,1.0,0.25142857142857145,0.0012552553268030055
up0.18_down0.52_risk0.45_fb1_min3_ratio0.45,0.18,0.52,0.45,1.0,3.0,0.45,177,1.0,0.25142857142857145,0.0012552553268030055
up0.18_down0.52_risk0.45_fb1_min3_ratio0.5,0.18,0.52,0.45,1.0,3.0,0.5,177,1.0,0.25142857142857145,0.0012552553268030055
up0.19_down0.48_risk0.35_fbNone_minNone_ratioNone,0.19,0.48,0.35,,,,12,0.1,0.16666666666666666,0.0007653170195288753
up0.19_down0.48_risk0.35_fbNone_minNone_ratio0.4,0.19,0.48,0.35,,,0.4,12,0.1,0.16666666666666666,0.0007653170195288753
up0.19_down0.48_risk0.35_fbNone_minNone_ratio0.45,0.19,0.48,0.35,,,0.45,12,0.1,0.16666666666666666,0.0007653170195288753
up0.19_down0.48_risk0.35_fbNone_minNone_ratio0.5,0.19,0.48,0.35,,,0.5,12,0.1,0.16666666666666666,0.0007653170195288753
up0.19_down0.48_risk0.35_fbNone_min2_ratioNone,0.19,0.48,0.35,,2.0,,12,0.1,0.16666666666666666,0.0007653170195288753
up0.19_down0.48_risk0.35_fbNone_min2_ratio0.4,0.19,0.48,0.35,,2.0,0.4,12,0.1,0.16666666666666666,0.0007653170195288753
up0.19_down0.48_risk0.35_fbNone_min2_ratio0.45,0.19,0.48,0.35,,2.0,0.45,12,0.1,0.16666666666666666,0.0007653170195288753
up0.19_down0.48_risk0.35_fbNone_min2_ratio0.5,0.19,0.48,0.35,,2.0,0.5,12,0.1,0.16666666666666666,0.0007653170195288753
up0.19_down0.48_risk0.35_fbNone_min3_ratioNone,0.19,0.48,0.35,,3.0,,12,0.1,0.16666666666666666,0.0007653170195288753
up0.19_down0.48_risk0.35_fbNone_min3_ratio0.4,0.19,0.48,0.35,,3.0,0.4,12,0.1,0.16666666666666666,0.0007653170195288753
up0.19_down0.48_risk0.35_fbNone_min3_ratio0.45,0.19,0.48,0.35,,3.0,0.45,12,0.1,0.16666666666666666,0.0007653170195288753
up0.19_down0.48_risk0.35_fbNone_min3_ratio0.5,0.19,0.48,0.35,,3.0,0.5,12,0.1,0.16666666666666666,0.0007653170195288753
up0.19_down0.48_risk0.35_fb1_minNone_ratioNone,0.19,0.48,0.35,1.0,,,132,1.0,0.1984732824427481,0.0005270096094877756
up0.19_down0.48_risk0.35_fb1_minNone_ratio0.4,0.19,0.48,0.35,1.0,,0.4,132,1.0,0.1984732824427481,0.0005270096094877756
up0.19_down0.48_risk0.35_fb1_minNone_ratio0.45,0.19,0.48,0.35,1.0,,0.45,132,1.0,0.1984732824427481,0.0005270096094877756
up0.19_down0.48_risk0.35_fb1_minNone_ratio0.5,0.19,0.48,0.35,1.0,,0.5,132,1.0,0.1984732824427481,0.0005270096094877756
up0.19_down0.48_risk0.35_fb1_min2_ratioNone,0.19,0.48,0.35,1.0,2.0,,132,1.0,0.1984732824427481,0.0005270096094877756
up0.19_down0.48_risk0.35_fb1_min2_ratio0.4,0.19,0.48,0.35,1.0,2.0,0.4,132,1.0,0.1984732824427481,0.0005270096094877756
up0.19_down0.48_risk0.35_fb1_min2_ratio0.45,0.19,0.48,0.35,1.0,2.0,0.45,132,1.0,0.1984732824427481,0.0005270096094877756
up0.19_down0.48_risk0.35_fb1_min2_ratio0.5,0.19,0.48,0.35,1.0,2.0,0.5,132,1.0,0.1984732824427481,0.0005270096094877756
up0.19_down0.48_risk0.35_fb1_min3_ratioNone,0.19,0.48,0.35,1.0,3.0,,132,1.0,0.1984732824427481,0.0005270096094877756
up0.19_down0.48_risk0.35_fb1_min3_ratio0.4,0.19,0.48,0.35,1.0,3.0,0.4,132,1.0,0.1984732824427481,0.0005270096094877756
up0.19_down0.48_risk0.35_fb1_min3_ratio0.45,0.19,0.48,0.35,1.0,3.0,0.45,132,1.0,0.1984732824427481,0.0005270096094877756
up0.19_down0.48_risk0.35_fb1_min3_ratio0.5,0.19,0.48,0.35,1.0,3.0,0.5,132,1.0,0.1984732824427481,0.0005270096094877756
up0.19_down0.48_risk0.40_fbNone_minNone_ratioNone,0.19,0.48,0.4,,,,14,0.11666666666666667,0.2857142857142857,0.003677173676329621
up0.19_down0.48_risk0.40_fbNone_minNone_ratio0.4,0.19,0.48,0.4,,,0.4,14,0.11666666666666667,0.2857142857142857,0.003677173676329621
up0.19_down0.48_risk0.40_fbNone_minNone_ratio0.45,0.19,0.48,0.4,,,0.45,14,0.11666666666666667,0.2857142857142857,0.003677173676329621
up0.19_down0.48_risk0.40_fbNone_minNone_ratio0.5,0.19,0.48,0.4,,,0.5,14,0.11666666666666667,0.2857142857142857,0.003677173676329621
up0.19_down0.48_risk0.40_fbNone_min2_ratioNone,0.19,0.48,0.4,,2.0,,14,0.11666666666666667,0.2857142857142857,0.003677173676329621
up0.19_down0.48_risk0.40_fbNone_min2_ratio0.4,0.19,0.48,0.4,,2.0,0.4,14,0.11666666666666667,0.2857142857142857,0.003677173676329621
up0.19_down0.48_risk0.40_fbNone_min2_ratio0.45,0.19,0.48,0.4,,2.0,0.45,14,0.11666666666666667,0.2857142857142857,0.003677173676329621
up0.19_down0.48_risk0.40_fbNone_min2_ratio0.5,0.19,0.48,0.4,,2.0,0.5,14,0.11666666666666667,0.2857142857142857,0.003677173676329621
up0.19_down0.48_risk0.40_fbNone_min3_ratioNone,0.19,0.48,0.4,,3.0,,14,0.11666666666666667,0.2857142857142857,0.003677173676329621
up0.19_down0.48_risk0.40_fbNone_min3_ratio0.4,0.19,0.48,0.4,,3.0,0.4,14,0.11666666666666667,0.2857142857142857,0.003677173676329621
up0.19_down0.48_risk0.40_fbNone_min3_ratio0.45,0.19,0.48,0.4,,3.0,0.45,14,0.11666666666666667,0.2857142857142857,0.003677173676329621
up0.19_down0.48_risk0.40_fbNone_min3_ratio0.5,0.19,0.48,0.4,,3.0,0.5,14,0.11666666666666667,0.2857142857142857,0.003677173676329621
up0.19_down0.48_risk0.40_fb1_minNone_ratioNone,0.19,0.48,0.4,1.0,,,134,1.0,0.21052631578947367,0.000837104406595239
up0.19_down0.48_risk0.40_fb1_minNone_ratio0.4,0.19,0.48,0.4,1.0,,0.4,134,1.0,0.21052631578947367,0.000837104406595239
up0.19_down0.48_risk0.40_fb1_minNone_ratio0.45,0.19,0.48,0.4,1.0,,0.45,134,1.0,0.21052631578947367,0.000837104406595239
up0.19_down0.48_risk0.40_fb1_minNone_ratio0.5,0.19,0.48,0.4,1.0,,0.5,134,1.0,0.21052631578947367,0.000837104406595239
up0.19_down0.48_risk0.40_fb1_min2_ratioNone,0.19,0.48,0.4,1.0,2.0,,134,1.0,0.21052631578947367,0.000837104406595239
up0.19_down0.48_risk0.40_fb1_min2_ratio0.4,0.19,0.48,0.4,1.0,2.0,0.4,134,1.0,0.21052631578947367,0.000837104406595239
up0.19_down0.48_risk0.40_fb1_min2_ratio0.45,0.19,0.48,0.4,1.0,2.0,0.45,134,1.0,0.21052631578947367,0.000837104406595239
up0.19_down0.48_risk0.40_fb1_min2_ratio0.5,0.19,0.48,0.4,1.0,2.0,0.5,134,1.0,0.21052631578947367,0.000837104406595239
up0.19_down0.48_risk0.40_fb1_min3_ratioNone,0.19,0.48,0.4,1.0,3.0,,134,1.0,0.21052631578947367,0.000837104406595239
up0.19_down0.48_risk0.40_fb1_min3_ratio0.4,0.19,0.48,0.4,1.0,3.0,0.4,134,1.0,0.21052631578947367,0.000837104406595239
up0.19_down0.48_risk0.40_fb1_min3_ratio0.45,0.19,0.48,0.4,1.0,3.0,0.45,134,1.0,0.21052631578947367,0.000837104406595239
up0.19_down0.48_risk0.40_fb1_min3_ratio0.5,0.19,0.48,0.4,1.0,3.0,0.5,134,1.0,0.21052631578947367,0.000837104406595239
up0.19_down0.48_risk0.45_fbNone_minNone_ratioNone,0.19,0.48,0.45,,,,14,0.11666666666666667,0.2857142857142857,0.003677173676329621
up0.19_down0.48_risk0.45_fbNone_minNone_ratio0.4,0.19,0.48,0.45,,,0.4,14,0.11666666666666667,0.2857142857142857,0.003677173676329621
up0.19_down0.48_risk0.45_fbNone_minNone_ratio0.45,0.19,0.48,0.45,,,0.45,14,0.11666666666666667,0.2857142857142857,0.003677173676329621
up0.19_down0.48_risk0.45_fbNone_minNone_ratio0.5,0.19,0.48,0.45,,,0.5,14,0.11666666666666667,0.2857142857142857,0.003677173676329621
up0.19_down0.48_risk0.45_fbNone_min2_ratioNone,0.19,0.48,0.45,,2.0,,14,0.11666666666666667,0.2857142857142857,0.003677173676329621
up0.19_down0.48_risk0.45_fbNone_min2_ratio0.4,0.19,0.48,0.45,,2.0,0.4,14,0.11666666666666667,0.2857142857142857,0.003677173676329621
up0.19_down0.48_risk0.45_fbNone_min2_ratio0.45,0.19,0.48,0.45,,2.0,0.45,14,0.11666666666666667,0.2857142857142857,0.003677173676329621
up0.19_down0.48_risk0.45_fbNone_min2_ratio0.5,0.19,0.48,0.45,,2.0,0.5,14,0.11666666666666667,0.2857142857142857,0.003677173676329621
up0.19_down0.48_risk0.45_fbNone_min3_ratioNone,0.19,0.48,0.45,,3.0,,14,0.11666666666666667,0.2857142857142857,0.003677173676329621
up0.19_down0.48_risk0.45_fbNone_min3_ratio0.4,0.19,0.48,0.45,,3.0,0.4,14,0.11666666666666667,0.2857142857142857,0.003677173676329621
up0.19_down0.48_risk0.45_fbNone_min3_ratio0.45,0.19,0.48,0.45,,3.0,0.45,14,0.11666666666666667,0.2857142857142857,0.003677173676329621
up0.19_down0.48_risk0.45_fbNone_min3_ratio0.5,0.19,0.48,0.45,,3.0,0.5,14,0.11666666666666667,0.2857142857142857,0.003677173676329621
up0.19_down0.48_risk0.45_fb1_minNone_ratioNone,0.19,0.48,0.45,1.0,,,134,1.0,0.21052631578947367,0.000837104406595239
up0.19_down0.48_risk0.45_fb1_minNone_ratio0.4,0.19,0.48,0.45,1.0,,0.4,134,1.0,0.21052631578947367,0.000837104406595239
up0.19_down0.48_risk0.45_fb1_minNone_ratio0.45,0.19,0.48,0.45,1.0,,0.45,134,1.0,0.21052631578947367,0.000837104406595239
up0.19_down0.48_risk0.45_fb1_minNone_ratio0.5,0.19,0.48,0.45,1.0,,0.5,134,1.0,0.21052631578947367,0.000837104406595239
up0.19_down0.48_risk0.45_fb1_min2_ratioNone,0.19,0.48,0.45,1.0,2.0,,134,1.0,0.21052631578947367,0.000837104406595239
up0.19_down0.48_risk0.45_fb1_min2_ratio0.4,0.19,0.48,0.45,1.0,2.0,0.4,134,1.0,0.21052631578947367,0.000837104406595239
up0.19_down0.48_risk0.45_fb1_min2_ratio0.45,0.19,0.48,0.45,1.0,2.0,0.45,134,1.0,0.21052631578947367,0.000837104406595239
up0.19_down0.48_risk0.45_fb1_min2_ratio0.5,0.19,0.48,0.45,1.0,2.0,0.5,134,1.0,0.21052631578947367,0.000837104406595239
up0.19_down0.48_risk0.45_fb1_min3_ratioNone,0.19,0.48,0.45,1.0,3.0,,134,1.0,0.21052631578947367,0.000837104406595239
up0.19_down0.48_risk0.45_fb1_min3_ratio0.4,0.19,0.48,0.45,1.0,3.0,0.4,134,1.0,0.21052631578947367,0.000837104406595239
up0.19_down0.48_risk0.45_fb1_min3_ratio0.45,0.19,0.48,0.45,1.0,3.0,0.45,134,1.0,0.21052631578947367,0.000837104406595239
up0.19_down0.48_risk0.45_fb1_min3_ratio0.5,0.19,0.48,0.45,1.0,3.0,0.5,134,1.0,0.21052631578947367,0.000837104406595239
up0.19_down0.50_risk0.35_fbNone_minNone_ratioNone,0.19,0.5,0.35,,,,19,0.15833333333333333,0.3333333333333333,0.005790836221062924
up0.19_down0.50_risk0.35_fbNone_minNone_ratio0.4,0.19,0.5,0.35,,,0.4,19,0.15833333333333333,0.3333333333333333,0.005790836221062924
up0.19_down0.50_risk0.35_fbNone_minNone_ratio0.45,0.19,0.5,0.35,,,0.45,19,0.15833333333333333,0.3333333333333333,0.005790836221062924
up0.19_down0.50_risk0.35_fbNone_minNone_ratio0.5,0.19,0.5,0.35,,,0.5,19,0.15833333333333333,0.3333333333333333,0.005790836221062924
up0.19_down0.50_risk0.35_fbNone_min2_ratioNone,0.19,0.5,0.35,,2.0,,19,0.15833333333333333,0.3333333333333333,0.005790836221062924
up0.19_down0.50_risk0.35_fbNone_min2_ratio0.4,0.19,0.5,0.35,,2.0,0.4,19,0.15833333333333333,0.3333333333333333,0.005790836221062924
up0.19_down0.50_risk0.35_fbNone_min2_ratio0.45,0.19,0.5,0.35,,2.0,0.45,19,0.15833333333333333,0.3333333333333333,0.005790836221062924
up0.19_down0.50_risk0.35_fbNone_min2_ratio0.5,0.19,0.5,0.35,,2.0,0.5,19,0.15833333333333333,0.3333333333333333,0.005790836221062924
up0.19_down0.50_risk0.35_fbNone_min3_ratioNone,0.19,0.5,0.35,,3.0,,19,0.15833333333333333,0.3333333333333333,0.005790836221062924
up0.19_down0.50_risk0.35_fbNone_min3_ratio0.4,0.19,0.5,0.35,,3.0,0.4,19,0.15833333333333333,0.3333333333333333,0.005790836221062924
up0.19_down0.50_risk0.35_fbNone_min3_ratio0.45,0.19,0.5,0.35,,3.0,0.45,19,0.15833333333333333,0.3333333333333333,0.005790836221062924
up0.19_down0.50_risk0.35_fbNone_min3_ratio0.5,0.19,0.5,0.35,,3.0,0.5,19,0.15833333333333333,0.3333333333333333,0.005790836221062924
up0.19_down0.50_risk0.35_fb1_minNone_ratioNone,0.19,0.5,0.35,1.0,,,139,1.0,0.20437956204379562,0.0010002993031992533
up0.19_down0.50_risk0.35_fb1_minNone_ratio0.4,0.19,0.5,0.35,1.0,,0.4,139,1.0,0.20437956204379562,0.0010002993031992533
up0.19_down0.50_risk0.35_fb1_minNone_ratio0.45,0.19,0.5,0.35,1.0,,0.45,139,1.0,0.20437956204379562,0.0010002993031992533
up0.19_down0.50_risk0.35_fb1_minNone_ratio0.5,0.19,0.5,0.35,1.0,,0.5,139,1.0,0.20437956204379562,0.0010002993031992533
up0.19_down0.50_risk0.35_fb1_min2_ratioNone,0.19,0.5,0.35,1.0,2.0,,139,1.0,0.20437956204379562,0.0010002993031992533
up0.19_down0.50_risk0.35_fb1_min2_ratio0.4,0.19,0.5,0.35,1.0,2.0,0.4,139,1.0,0.20437956204379562,0.0010002993031992533
up0.19_down0.50_risk0.35_fb1_min2_ratio0.45,0.19,0.5,0.35,1.0,2.0,0.45,139,1.0,0.20437956204379562,0.0010002993031992533
up0.19_down0.50_risk0.35_fb1_min2_ratio0.5,0.19,0.5,0.35,1.0,2.0,0.5,139,1.0,0.20437956204379562,0.0010002993031992533
up0.19_down0.50_risk0.35_fb1_min3_ratioNone,0.19,0.5,0.35,1.0,3.0,,139,1.0,0.20437956204379562,0.0010002993031992533
up0.19_down0.50_risk0.35_fb1_min3_ratio0.4,0.19,0.5,0.35,1.0,3.0,0.4,139,1.0,0.20437956204379562,0.0010002993031992533
up0.19_down0.50_risk0.35_fb1_min3_ratio0.45,0.19,0.5,0.35,1.0,3.0,0.45,139,1.0,0.20437956204379562,0.0010002993031992533
up0.19_down0.50_risk0.35_fb1_min3_ratio0.5,0.19,0.5,0.35,1.0,3.0,0.5,139,1.0,0.20437956204379562,0.0010002993031992533
up0.19_down0.50_risk0.40_fbNone_minNone_ratioNone,0.19,0.5,0.4,,,,24,0.2,0.391304347826087,0.00311408951853677
up0.19_down0.50_risk0.40_fbNone_minNone_ratio0.4,0.19,0.5,0.4,,,0.4,24,0.2,0.391304347826087,0.00311408951853677
up0.19_down0.50_risk0.40_fbNone_minNone_ratio0.45,0.19,0.5,0.4,,,0.45,24,0.2,0.391304347826087,0.00311408951853677
up0.19_down0.50_risk0.40_fbNone_minNone_ratio0.5,0.19,0.5,0.4,,,0.5,24,0.2,0.391304347826087,0.00311408951853677
up0.19_down0.50_risk0.40_fbNone_min2_ratioNone,0.19,0.5,0.4,,2.0,,24,0.2,0.391304347826087,0.00311408951853677
up0.19_down0.50_risk0.40_fbNone_min2_ratio0.4,0.19,0.5,0.4,,2.0,0.4,24,0.2,0.391304347826087,0.00311408951853677
up0.19_down0.50_risk0.40_fbNone_min2_ratio0.45,0.19,0.5,0.4,,2.0,0.45,24,0.2,0.391304347826087,0.00311408951853677
up0.19_down0.50_risk0.40_fbNone_min2_ratio0.5,0.19,0.5,0.4,,2.0,0.5,24,0.2,0.391304347826087,0.00311408951853677
up0.19_down0.50_risk0.40_fbNone_min3_ratioNone,0.19,0.5,0.4,,3.0,,24,0.2,0.391304347826087,0.00311408951853677
up0.19_down0.50_risk0.40_fbNone_min3_ratio0.4,0.19,0.5,0.4,,3.0,0.4,24,0.2,0.391304347826087,0.00311408951853677
up0.19_down0.50_risk0.40_fbNone_min3_ratio0.45,0.19,0.5,0.4,,3.0,0.45,24,0.2,0.391304347826087,0.00311408951853677
up0.19_down0.50_risk0.40_fbNone_min3_ratio0.5,0.19,0.5,0.4,,3.0,0.5,24,0.2,0.391304347826087,0.00311408951853677
up0.19_down0.50_risk0.40_fb1_minNone_ratioNone,0.19,0.5,0.4,1.0,,,144,1.0,0.21830985915492956,0.0007354226160951464
up0.19_down0.50_risk0.40_fb1_minNone_ratio0.4,0.19,0.5,0.4,1.0,,0.4,144,1.0,0.21830985915492956,0.0007354226160951464
up0.19_down0.50_risk0.40_fb1_minNone_ratio0.45,0.19,0.5,0.4,1.0,,0.45,144,1.0,0.21830985915492956,0.0007354226160951464
up0.19_down0.50_risk0.40_fb1_minNone_ratio0.5,0.19,0.5,0.4,1.0,,0.5,144,1.0,0.21830985915492956,0.0007354226160951464
up0.19_down0.50_risk0.40_fb1_min2_ratioNone,0.19,0.5,0.4,1.0,2.0,,144,1.0,0.21830985915492956,0.0007354226160951464
up0.19_down0.50_risk0.40_fb1_min2_ratio0.4,0.19,0.5,0.4,1.0,2.0,0.4,144,1.0,0.21830985915492956,0.0007354226160951464
up0.19_down0.50_risk0.40_fb1_min2_ratio0.45,0.19,0.5,0.4,1.0,2.0,0.45,144,1.0,0.21830985915492956,0.0007354226160951464
up0.19_down0.50_risk0.40_fb1_min2_ratio0.5,0.19,0.5,0.4,1.0,2.0,0.5,144,1.0,0.21830985915492956,0.0007354226160951464
up0.19_down0.50_risk0.40_fb1_min3_ratioNone,0.19,0.5,0.4,1.0,3.0,,144,1.0,0.21830985915492956,0.0007354226160951464
up0.19_down0.50_risk0.40_fb1_min3_ratio0.4,0.19,0.5,0.4,1.0,3.0,0.4,144,1.0,0.21830985915492956,0.0007354226160951464
up0.19_down0.50_risk0.40_fb1_min3_ratio0.45,0.19,0.5,0.4,1.0,3.0,0.45,144,1.0,0.21830985915492956,0.0007354226160951464
up0.19_down0.50_risk0.40_fb1_min3_ratio0.5,0.19,0.5,0.4,1.0,3.0,0.5,144,1.0,0.21830985915492956,0.0007354226160951464
up0.19_down0.50_risk0.45_fbNone_minNone_ratioNone,0.19,0.5,0.45,,,,25,0.20833333333333334,0.4166666666666667,0.0037139964963686287
up0.19_down0.50_risk0.45_fbNone_minNone_ratio0.4,0.19,0.5,0.45,,,0.4,25,0.20833333333333334,0.4166666666666667,0.0037139964963686287
up0.19_down0.50_risk0.45_fbNone_minNone_ratio0.45,0.19,0.5,0.45,,,0.45,25,0.20833333333333334,0.4166666666666667,0.0037139964963686287
up0.19_down0.50_risk0.45_fbNone_minNone_ratio0.5,0.19,0.5,0.45,,,0.5,25,0.20833333333333334,0.4166666666666667,0.0037139964963686287
up0.19_down0.50_risk0.45_fbNone_min2_ratioNone,0.19,0.5,0.45,,2.0,,25,0.20833333333333334,0.4166666666666667,0.0037139964963686287
up0.19_down0.50_risk0.45_fbNone_min2_ratio0.4,0.19,0.5,0.45,,2.0,0.4,25,0.20833333333333334,0.4166666666666667,0.0037139964963686287
up0.19_down0.50_risk0.45_fbNone_min2_ratio0.45,0.19,0.5,0.45,,2.0,0.45,25,0.20833333333333334,0.4166666666666667,0.0037139964963686287
up0.19_down0.50_risk0.45_fbNone_min2_ratio0.5,0.19,0.5,0.45,,2.0,0.5,25,0.20833333333333334,0.4166666666666667,0.0037139964963686287
up0.19_down0.50_risk0.45_fbNone_min3_ratioNone,0.19,0.5,0.45,,3.0,,25,0.20833333333333334,0.4166666666666667,0.0037139964963686287
up0.19_down0.50_risk0.45_fbNone_min3_ratio0.4,0.19,0.5,0.45,,3.0,0.4,25,0.20833333333333334,0.4166666666666667,0.0037139964963686287
up0.19_down0.50_risk0.45_fbNone_min3_ratio0.45,0.19,0.5,0.45,,3.0,0.45,25,0.20833333333333334,0.4166666666666667,0.0037139964963686287
up0.19_down0.50_risk0.45_fbNone_min3_ratio0.5,0.19,0.5,0.45,,3.0,0.5,25,0.20833333333333334,0.4166666666666667,0.0037139964963686287
up0.19_down0.50_risk0.45_fb1_minNone_ratioNone,0.19,0.5,0.45,1.0,,,145,1.0,0.22377622377622378,0.00085274033896512
up0.19_down0.50_risk0.45_fb1_minNone_ratio0.4,0.19,0.5,0.45,1.0,,0.4,145,1.0,0.22377622377622378,0.00085274033896512
up0.19_down0.50_risk0.45_fb1_minNone_ratio0.45,0.19,0.5,0.45,1.0,,0.45,145,1.0,0.22377622377622378,0.00085274033896512
up0.19_down0.50_risk0.45_fb1_minNone_ratio0.5,0.19,0.5,0.45,1.0,,0.5,145,1.0,0.22377622377622378,0.00085274033896512
up0.19_down0.50_risk0.45_fb1_min2_ratioNone,0.19,0.5,0.45,1.0,2.0,,145,1.0,0.22377622377622378,0.00085274033896512
up0.19_down0.50_risk0.45_fb1_min2_ratio0.4,0.19,0.5,0.45,1.0,2.0,0.4,145,1.0,0.22377622377622378,0.00085274033896512
up0.19_down0.50_risk0.45_fb1_min2_ratio0.45,0.19,0.5,0.45,1.0,2.0,0.45,145,1.0,0.22377622377622378,0.00085274033896512
up0.19_down0.50_risk0.45_fb1_min2_ratio0.5,0.19,0.5,0.45,1.0,2.0,0.5,145,1.0,0.22377622377622378,0.00085274033896512
up0.19_down0.50_risk0.45_fb1_min3_ratioNone,0.19,0.5,0.45,1.0,3.0,,145,1.0,0.22377622377622378,0.00085274033896512
