scenario,threshold_up,threshold_down,threshold_risk,fallback_max,fallback_min_passed_all,fallback_min_passed_ratio,selected_total,coverage,precision,avg_return
up0.18_down0.48_risk0.40_fb1_min2_ratioNone,0.18,0.48,0.4,1.0,2.0,,155,1.0,0.2077922077922078,5.833635505987626e-05
up0.18_down0.48_risk0.40_fb1_min2_ratio0.4,0.18,0.48,0.4,1.0,2.0,0.4,155,1.0,0.2077922077922078,5.833635505987626e-05
up0.18_down0.48_risk0.40_fb1_min2_ratio0.45,0.18,0.48,0.4,1.0,2.0,0.45,155,1.0,0.2077922077922078,5.833635505987626e-05
up0.18_down0.48_risk0.40_fb1_min2_ratio0.5,0.18,0.48,0.4,1.0,2.0,0.5,155,1.0,0.2077922077922078,5.833635505987626e-05
up0.18_down0.48_risk0.40_fb1_min3_ratioNone,0.18,0.48,0.4,1.0,3.0,,155,1.0,0.2077922077922078,5.833635505987626e-05
up0.18_down0.48_risk0.40_fb1_min3_ratio0.4,0.18,0.48,0.4,1.0,3.0,0.4,155,1.0,0.2077922077922078,5.833635505987626e-05
up0.18_down0.48_risk0.40_fb1_min3_ratio0.45,0.18,0.48,0.4,1.0,3.0,0.45,155,1.0,0.2077922077922078,5.833635505987626e-05
up0.18_down0.48_risk0.40_fb1_min3_ratio0.5,0.18,0.48,0.4,1.0,3.0,0.5,155,1.0,0.2077922077922078,5.833635505987626e-05
up0.18_down0.48_risk0.45_fbNone_minNone_ratioNone,0.18,0.48,0.45,,,,40,0.3,0.25,-0.00017822225764591582
up0.18_down0.48_risk0.45_fbNone_minNone_ratio0.4,0.18,0.48,0.45,,,0.4,40,0.3,0.25,-0.00017822225764591582
up0.18_down0.48_risk0.45_fbNone_minNone_ratio0.45,0.18,0.48,0.45,,,0.45,40,0.3,0.25,-0.00017822225764591582
up0.18_down0.48_risk0.45_fbNone_minNone_ratio0.5,0.18,0.48,0.45,,,0.5,40,0.3,0.25,-0.00017822225764591582
up0.18_down0.48_risk0.45_fbNone_min2_ratioNone,0.18,0.48,0.45,,2.0,,40,0.3,0.25,-0.00017822225764591582
up0.18_down0.48_risk0.45_fbNone_min2_ratio0.4,0.18,0.48,0.45,,2.0,0.4,40,0.3,0.25,-0.00017822225764591582
up0.18_down0.48_risk0.45_fbNone_min2_ratio0.45,0.18,0.48,0.45,,2.0,0.45,40,0.3,0.25,-0.00017822225764591582
up0.18_down0.48_risk0.45_fbNone_min2_ratio0.5,0.18,0.48,0.45,,2.0,0.5,40,0.3,0.25,-0.00017822225764591582
up0.18_down0.48_risk0.45_fbNone_min3_ratioNone,0.18,0.48,0.45,,3.0,,40,0.3,0.25,-0.00017822225764591582
up0.18_down0.48_risk0.45_fbNone_min3_ratio0.4,0.18,0.48,0.45,,3.0,0.4,40,0.3,0.25,-0.00017822225764591582
up0.18_down0.48_risk0.45_fbNone_min3_ratio0.45,0.18,0.48,0.45,,3.0,0.45,40,0.3,0.25,-0.00017822225764591582
up0.18_down0.48_risk0.45_fbNone_min3_ratio0.5,0.18,0.48,0.45,,3.0,0.5,40,0.3,0.25,-0.00017822225764591582
up0.18_down0.48_risk0.45_fb1_minNone_ratioNone,0.18,0.48,0.45,1.0,,,156,1.0,0.2129032258064516,0.0004003145645685942
up0.18_down0.48_risk0.45_fb1_minNone_ratio0.4,0.18,0.48,0.45,1.0,,0.4,156,1.0,0.2129032258064516,0.0004003145645685942
up0.18_down0.48_risk0.45_fb1_minNone_ratio0.45,0.18,0.48,0.45,1.0,,0.45,156,1.0,0.2129032258064516,0.0004003145645685942
up0.18_down0.48_risk0.45_fb1_minNone_ratio0.5,0.18,0.48,0.45,1.0,,0.5,156,1.0,0.2129032258064516,0.0004003145645685942
up0.18_down0.48_risk0.45_fb1_min2_ratioNone,0.18,0.48,0.45,1.0,2.0,,156,1.0,0.2129032258064516,0.0004003145645685942
up0.18_down0.48_risk0.45_fb1_min2_ratio0.4,0.18,0.48,0.45,1.0,2.0,0.4,156,1.0,0.2129032258064516,0.0004003145645685942
up0.18_down0.48_risk0.45_fb1_min2_ratio0.45,0.18,0.48,0.45,1.0,2.0,0.45,156,1.0,0.2129032258064516,0.0004003145645685942
up0.18_down0.48_risk0.45_fb1_min2_ratio0.5,0.18,0.48,0.45,1.0,2.0,0.5,156,1.0,0.2129032258064516,0.0004003145645685942
up0.18_down0.48_risk0.45_fb1_min3_ratioNone,0.18,0.48,0.45,1.0,3.0,,156,1.0,0.2129032258064516,0.0004003145645685942
up0.18_down0.48_risk0.45_fb1_min3_ratio0.4,0.18,0.48,0.45,1.0,3.0,0.4,156,1.0,0.2129032258064516,0.0004003145645685942
up0.18_down0.48_risk0.45_fb1_min3_ratio0.45,0.18,0.48,0.45,1.0,3.0,0.45,156,1.0,0.2129032258064516,0.0004003145645685942
up0.18_down0.48_risk0.45_fb1_min3_ratio0.5,0.18,0.48,0.45,1.0,3.0,0.5,156,1.0,0.2129032258064516,0.0004003145645685942
up0.18_down0.50_risk0.35_fbNone_minNone_ratioNone,0.18,0.5,0.35,,,,47,0.3333333333333333,0.30434782608695654,0.006609942166281611
up0.18_down0.50_risk0.35_fbNone_minNone_ratio0.4,0.18,0.5,0.35,,,0.4,47,0.3333333333333333,0.30434782608695654,0.006609942166281611
up0.18_down0.50_risk0.35_fbNone_minNone_ratio0.45,0.18,0.5,0.35,,,0.45,47,0.3333333333333333,0.30434782608695654,0.006609942166281611
up0.18_down0.50_risk0.35_fbNone_minNone_ratio0.5,0.18,0.5,0.35,,,0.5,47,0.3333333333333333,0.30434782608695654,0.006609942166281611
up0.18_down0.50_risk0.35_fbNone_min2_ratioNone,0.18,0.5,0.35,,2.0,,47,0.3333333333333333,0.30434782608695654,0.006609942166281611
up0.18_down0.50_risk0.35_fbNone_min2_ratio0.4,0.18,0.5,0.35,,2.0,0.4,47,0.3333333333333333,0.30434782608695654,0.006609942166281611
up0.18_down0.50_risk0.35_fbNone_min2_ratio0.45,0.18,0.5,0.35,,2.0,0.45,47,0.3333333333333333,0.30434782608695654,0.006609942166281611
