number,value,state,param_learning_rate,param_max_depth,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_n_estimators,param_reg_alpha,param_reg_lambda
0,0.35196687370600416,TrialState.COMPLETE,0.025578674535840156,7,22,42,0.9282599424674098,0.9590548429996658,202,0.35325041569814986,0.47293897994113454
1,0.33195307108350586,TrialState.COMPLETE,0.050733466147310266,6,88,57,0.8917478546713317,0.8440338511558536,376,0.43660218566374476,0.23129716285030189
2,0.3581780538302277,TrialState.COMPLETE,0.01970699764783538,9,81,47,0.7662677531619149,0.7988915069279239,162,0.1933694153007478,0.37612088392045995
3,0.3140096618357488,TrialState.COMPLETE,0.0400213477113856,5,27,22,0.8831659746686591,0.743778134186642,332,0.18042669569741282,0.06634971678641494
4,0.32574189095928224,TrialState.COMPLETE,0.01870814597115944,6,98,39,0.7824532641844906,0.8316395333508426,415,0.49920383536817575,0.13956390586419615
5,0.3443754313319531,TrialState.COMPLETE,0.05816297295017453,9,108,53,0.9734580620669343,0.6639563589436519,300,0.28648723830224554,0.03474715841758519
6,0.35955831608005523,TrialState.COMPLETE,0.017748982061647232,10,16,54,0.6354186060661714,0.992832813660377,321,0.032192388972803965,0.04239596741349061
7,0.3022774327122153,TrialState.COMPLETE,0.030433428681304567,8,111,24,0.7813657723246522,0.948556053232472,272,0.02330948795973853,0.19107260553303523
8,0.35955831608005523,TrialState.COMPLETE,0.013266440749875309,9,33,36,0.889549941051052,0.8274466968080467,392,0.07226968810776369,0.35004256598821437
9,0.33747412008281574,TrialState.COMPLETE,0.08004962304674987,8,22,52,0.8688855676136354,0.734467951638469,446,0.45119582407716347,0.0748261628132304
10,0.34575569358178054,TrialState.COMPLETE,0.010681248687346441,10,53,13,0.6135397349003604,0.9919554779225956,495,0.0031301221817986377,0.0008854686753700935
11,0.34644582470669427,TrialState.COMPLETE,0.01145471996278616,10,48,32,0.6020496176753349,0.8950448271920446,363,0.08892969856181149,0.3110128778983611
12,0.32919254658385094,TrialState.COMPLETE,0.015315743321846665,10,49,60,0.6948419770199495,0.896789175372152,234,0.09676787132219579,0.32189292751313753
13,0.357487922705314,TrialState.COMPLETE,0.016065285486143718,9,36,31,0.7020644873273303,0.9876913964198233,405,0.09283745397717975,0.13779415293763336
14,0.3588681849551415,TrialState.COMPLETE,0.023768979088661612,4,67,44,0.8311417133490117,0.6007595524186721,321,0.14861244618116015,0.27017834067709606
15,0.3416149068322981,TrialState.COMPLETE,0.013475264686157139,8,38,36,0.9935997679730088,0.8946748593311182,267,0.0024137713500899036,0.39299357110674166
16,0.357487922705314,TrialState.COMPLETE,0.012934996291396966,9,17,25,0.8313327292075887,0.9158097853687664,357,0.05681055215526856,0.20570392001653726
17,0.357487922705314,TrialState.COMPLETE,0.010395552347440098,10,68,11,0.9362917228020294,0.852160465708703,465,0.1381127388026264,0.13222811682255914
18,0.33954451345755693,TrialState.COMPLETE,0.018794457935349847,7,32,49,0.7298951326555211,0.9403360559585541,404,0.23259624313853977,0.24703808183027434
19,0.35127674258109043,TrialState.COMPLETE,0.014224457559723012,8,41,17,0.6647566930426608,0.9941027617773995,284,0.061350760972652574,0.1006097226942485
20,0.36438923395445133,TrialState.COMPLETE,0.02440178535721036,9,128,30,0.7453362684971893,0.8031893176072064,239,0.13262033267136564,0.1752993443084056
21,0.3830227743271222,TrialState.COMPLETE,0.022440159977808072,9,120,29,0.6435123221153092,0.7751562629524077,225,0.12296449060070444,0.17954248005819606
22,0.3657694962042788,TrialState.COMPLETE,0.0250797315803866,10,123,27,0.6444538729037644,0.7713882151096788,227,0.13751210439945155,0.16373646174916737
23,0.3719806763285024,TrialState.COMPLETE,0.023566559791124816,9,127,29,0.6570875743045987,0.771719998808846,213,0.15640261249587764,0.18611042217091772
24,0.3712905452035887,TrialState.COMPLETE,0.03190836475167109,8,126,19,0.6503148293849005,0.7534082780672503,156,0.19886290103026918,0.1742182878113984
25,0.3795721187025535,TrialState.COMPLETE,0.03335841580152848,8,114,15,0.6724076272004407,0.7203078275499823,152,0.2282488325766576,0.21187974947243243
26,0.34644582470669427,TrialState.COMPLETE,0.03331296865248185,7,115,16,0.686636527552517,0.7128222693945389,188,0.252793298208712,0.22166460743423377
27,0.3671497584541063,TrialState.COMPLETE,0.021868833440507454,8,100,21,0.6791810368765375,0.7043482278442215,192,0.169269359785164,0.2601169728868305
28,0.35955831608005523,TrialState.COMPLETE,0.028535764983290718,6,118,27,0.6255616182972573,0.771663658663707,215,0.22127671486240486,0.1961060227299962
29,0.3712905452035887,TrialState.COMPLETE,0.022566327034711075,7,104,41,0.6014867412879417,0.6771973648775267,174,0.29351269497510113,0.27670440632387666
