Code,min,max,days_available,Name,sector,missing
67520,2025-09-19,2025-10-17,29,パナソニックホールディングス,電気機器,False
67580,2025-09-19,2025-10-17,29,ソニーグループ,電気機器,False
67700,2025-09-19,2025-10-17,29,アルプスアルパイン,電気機器,False
68410,2025-09-19,2025-10-17,29,横河電機,電気機器,False
68570,2025-09-19,2025-10-17,29,アドバンテスト,電気機器,False
68610,2025-09-19,2025-10-17,29,キーエンス,電気機器,False
69020,2025-09-19,2025-10-17,29,デンソー,輸送用機器,False
69540,2025-09-19,2025-10-17,29,ファナック,電気機器,False
69710,2025-09-19,2025-10-17,29,京セラ,電気機器,False
69760,2025-09-19,2025-10-17,29,太陽誘電,電気機器,False
69810,2025-09-19,2025-10-17,29,村田製作所,電気機器,False
70030,2025-09-19,2025-10-17,29,三井E&Sホールディングス,輸送用機器,False
70040,2025-09-19,2025-10-17,29,日立Astemo,輸送用機器,False
70110,2025-09-19,2025-10-17,29,三菱重工業,機械,False
70120,2025-09-19,2025-10-17,29,川崎重工業,輸送用機器,False
70130,2025-09-19,2025-10-17,29,IHI,機械,False
72010,2025-09-19,2025-10-17,29,日産自動車,輸送用機器,False
72020,2025-09-19,2025-10-17,29,いすゞ自動車,輸送用機器,False
72030,2025-09-19,2025-10-17,29,トヨタ自動車,輸送用機器,False
72610,2025-09-19,2025-10-17,29,マツダ,輸送用機器,False
72670,2025-09-19,2025-10-17,29,ホンダ,輸送用機器,False
72690,2025-09-19,2025-10-17,29,スズキ,輸送用機器,False
72700,2025-09-19,2025-10-17,29,SUBARU,輸送用機器,False
77310,2025-09-19,2025-10-17,29,ニコン,精密機器,False
77320,2025-09-19,2025-10-17,29,トプコン,精密機器,False
77350,2025-09-19,2025-10-17,29,SCREEN,電気機器,False
77410,2025-09-19,2025-10-17,29,HOYA,精密機器,False
77510,2025-09-19,2025-10-17,29,キヤノン,電気機器,False
78320,2025-09-19,2025-10-17,29,バンダイナムコホールディングス,その他製品,False
79110,2025-09-19,2025-10-17,29,凸版印刷,その他製品,False
79120,2025-09-19,2025-10-17,29,大日本印刷,その他製品,False
79510,2025-09-19,2025-10-17,29,ヤマハ,その他製品,False
79740,2025-09-19,2025-10-17,29,任天堂,その他製品,False
80010,2025-09-19,2025-10-17,29,伊藤忠商事,卸売業,False
80020,2025-09-19,2025-10-17,29,丸紅,卸売業,False
80150,2025-09-19,2025-10-17,29,豊田通商,卸売業,False
80200,2025-09-19,2025-10-17,29,兼松,卸売業,False
80310,2025-09-19,2025-10-17,29,三井物産,卸売業,False
80530,2025-09-19,2025-10-17,29,住友商事,卸売業,False
80580,2025-09-19,2025-10-17,29,三菱商事,卸売業,False
82330,2025-09-19,2025-10-17,29,高島屋,小売業,False
82670,2025-09-19,2025-10-17,29,イオン,小売業,False
83060,2025-09-19,2025-10-17,29,三菱UFJフィナンシャル・グループ,銀行業,False
83090,2025-09-19,2025-10-17,29,三井住友トラスト・ホールディングス,銀行業,False
83160,2025-09-19,2025-10-17,29,三井住友フィナンシャルグループ,銀行業,False
83540,2025-09-19,2025-10-17,29,ふくおかフィナンシャルグループ,銀行業,False
84110,2025-09-19,2025-10-17,29,みずほフィナンシャルグループ,銀行業,False
87660,2025-09-19,2025-10-17,29,東京海上ホールディングス,保険業,False
88020,2025-09-19,2025-10-17,29,三菱地所,不動産業,False
88010,2025-09-19,2025-10-17,29,三井不動産,不動産業,False
90010,2025-09-19,2025-10-17,29,東武鉄道,陸運業,False
90050,2025-09-19,2025-10-17,29,東急,陸運業,False
90070,2025-09-19,2025-10-17,29,小田急電鉄,陸運業,False
90080,2025-09-19,2025-10-17,29,京王電鉄,陸運業,False
90090,2025-09-19,2025-10-17,29,京成電鉄,陸運業,False
90200,2025-09-19,2025-10-17,29,東日本旅客鉄道,陸運業,False
90210,2025-09-19,2025-10-17,29,西日本旅客鉄道,陸運業,False
90220,2025-09-19,2025-10-17,29,東海旅客鉄道,陸運業,False
91040,2025-09-19,2025-10-17,29,商船三井,海運業,False
91070,2025-09-19,2025-10-17,29,川崎汽船,海運業,False
92020,2025-09-19,2025-10-17,29,ANAホールディングス,空運業,False
93010,2025-09-19,2025-10-17,29,三菱倉庫,倉庫・運輸関連業,False
94320,2025-09-19,2025-10-17,29,日本電信電話,情報・通信業,False
94330,2025-09-19,2025-10-17,29,KDDI,情報・通信業,False
94340,2025-09-19,2025-10-17,29,ソフトバンク,情報・通信業,False
96130,,,0,エヌ・ティ・ティ・データ,情報・通信業,True
97350,2025-09-19,2025-10-17,29,セコム,サービス業,False
97660,2025-09-19,2025-10-17,29,コナミグループ,情報・通信業,False
99830,2025-09-19,2025-10-17,29,ファーストリテイリング,小売業,False
99840,2025-09-19,2025-10-17,29,ソフトバンクグループ,情報・通信業,False
