Date,count,avg_return,cum_return
2025-10-01,3,0.01918807874552005,0.056729006402546744
2025-10-02,3,0.027136952553392362,0.08331922104654121
2025-10-03,3,0.05589825142460262,0.17159638348873063
2025-10-06,3,0.004526168094701373,0.013086810522029424
2025-10-07,3,0.012485102963625372,0.03687968622526361
2025-10-08,3,-0.005171607103573672,-0.015743686718517336
2025-10-09,3,-0.00631056146431123,-0.01954799979740096
2025-10-10,3,0.028003256663473808,0.07799246786327974
2025-10-14,3,0.015762648447234073,0.04768401079197626
2025-10-15,3,0.01204546769927813,0.03592262525621104
