number,value,state,param_learning_rate,param_max_depth,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_n_estimators,param_reg_alpha,param_reg_lambda
0,0.29196883144944563,TrialState.COMPLETE,0.05340412792812837,6,44,41,0.7681737351049324,0.8725658295135148,395,0.48773778313624616,0.07184618976829982
1,0.29160050913958036,TrialState.COMPLETE,0.023034775160364066,7,46,51,0.8189762041456713,0.7364065798617149,287,0.2734935336115996,0.28927421100325285
2,0.29110157763631334,TrialState.COMPLETE,0.051609330450090064,8,93,20,0.8259358453221968,0.7090046855847025,352,0.16945494177923265,0.33214794198264747
3,0.2920347796913442,TrialState.COMPLETE,0.07157168575907463,10,85,31,0.6743755376687322,0.9652310358721741,262,0.21056608454029557,0.11339932054061336
4,0.29155572957452364,TrialState.COMPLETE,0.028456672604562396,4,92,39,0.7595693897129441,0.6257848976663428,434,0.12250517647663495,0.013967309529383076
5,0.29208552736556564,TrialState.COMPLETE,0.02726943584595629,10,84,10,0.9041681552227003,0.6409522056161158,296,0.32725074461399506,0.19243524867201117
6,0.2933877067603397,TrialState.COMPLETE,0.014597031370842515,6,108,22,0.6493167991204855,0.9114969994340986,261,0.030047359122186146,0.09042373468571985
7,0.29086619480957193,TrialState.COMPLETE,0.016106460273153923,9,17,16,0.9091250659161974,0.834331999819681,376,0.05887656706450639,0.371582144821289
8,0.2907579488714439,TrialState.COMPLETE,0.07029364923557849,9,72,24,0.6949023062259343,0.7770191848073121,217,0.3047229144981463,0.31962473170447336
9,0.29100879402409363,TrialState.COMPLETE,0.09646339231561525,6,128,23,0.9695812420540981,0.7377138731481473,453,0.32104928969514573,0.3437459553844981
10,0.3133203455536533,TrialState.COMPLETE,0.010656386464410288,4,124,59,0.604719091588793,0.9693981723970758,164,0.008616699766147998,0.4792715323461481
11,0.3115415049549719,TrialState.COMPLETE,0.010899970455383195,4,126,60,0.6122047438028222,0.9871432150212028,166,0.02707024897707129,0.4978275974252677
12,0.3172968519642702,TrialState.COMPLETE,0.010002737426506335,4,127,59,0.602774925267571,0.9856018286512356,164,0.011713789460223122,0.49258254996847817
13,0.31415424627388217,TrialState.COMPLETE,0.011017301430637609,5,111,60,0.6189886185825711,0.9959358617571765,159,0.0022612559762057137,0.47937286366456305
14,0.3035136497406631,TrialState.COMPLETE,0.010250630710622329,5,110,49,0.6007231301672931,0.9220275432702382,211,0.09778968913817787,0.42246461772520166
15,0.29362173554723914,TrialState.COMPLETE,0.01682275980730594,5,110,52,0.6992142208610379,0.9887876913259519,208,0.09875960483658333,0.4045696336363965
16,0.29497881797347036,TrialState.COMPLETE,0.02061559662985863,5,65,45,0.6457472823334542,0.9185126558279906,150,0.002989188688689739,0.44421551123673797
17,0.2918507154759701,TrialState.COMPLETE,0.01372636100219018,7,104,55,0.6907051710365996,0.8634563221664058,491,0.07600434991101523,0.49365788590196974
18,0.29772295735880716,TrialState.COMPLETE,0.013260916090850517,5,117,32,0.7378173390850501,0.9433597885068293,196,0.13579485065491673,0.3962189029362878
19,0.29076745602778964,TrialState.COMPLETE,0.02025465593887827,4,100,45,0.6417386307134859,0.9929597302814853,237,0.05890629716447886,0.44270693414472073
20,0.2945511358137348,TrialState.COMPLETE,0.010106671694127224,6,118,58,0.6405247520628408,0.8969104353334049,324,0.0012599763455124618,0.24098766949670636
21,0.30527989289599194,TrialState.COMPLETE,0.011657865109627448,4,128,57,0.6061614034611826,0.9515710726985002,176,0.004443270013570144,0.4999269101399396
22,0.31118192895304153,TrialState.COMPLETE,0.01211065843637385,4,118,60,0.6010330344926526,0.9969645905028905,150,0.05680395856329912,0.45025173551148656
23,0.30974828540923977,TrialState.COMPLETE,0.010132024939356856,5,118,54,0.6657784537052391,0.9491240198951767,188,0.044690581854252245,0.45842711700706873
24,0.2918485499887903,TrialState.COMPLETE,0.016143170158790535,4,99,48,0.6306495527439338,0.9511906399265591,240,0.10410496812748311,0.3768812579473704
25,0.30076702564499885,TrialState.COMPLETE,0.01299911369635582,5,58,55,0.7205311096618391,0.9651593414083426,179,0.1473514160233126,0.4607902584652961
26,0.29531331098236707,TrialState.COMPLETE,0.012228204852040382,4,120,60,0.6710424618923321,0.901214904398661,237,0.07459457215081539,0.42103010219634435
27,0.2973455437353961,TrialState.COMPLETE,0.01779265625979806,5,79,45,0.6365496029719755,0.9312196442299758,151,0.0312542981398399,0.37254900394433427
28,0.2962708467539904,TrialState.COMPLETE,0.014448743148287218,6,21,53,0.6269478244911115,0.9978486911497682,191,0.18278799926491168,0.4622235237343016
29,0.297887448961477,TrialState.COMPLETE,0.011489639917740139,6,31,41,0.7186000639217006,0.8755652783061074,224,0.08774051363519393,0.41728821119405257
