trial,score,up,down,risk,fallback_min_passed_ratio,fallback_min_composite,fallback_min_up_prob,fallback_risk_margin,fallback_block_ratio,precision,average_return,coverage,fallback_ratio,selected_total
0,-0.16277056277056284,0.20563707147485025,0.48385508543613026,0.4126681934261818,0.5593814545624634,-0.010530274573527218,0.1530533069108248,0.047678311189353076,0.2929130749371301,0.23809523809523808,0.00048404040053915515,1.0,0.9090909090909091,22
1,-0.05937500000000007,0.1839811090110793,0.5157309619846278,0.43460263218545536,0.42239834174355584,-0.021400989218592764,0.14948243033392555,0.028905340042356266,0.22335088059247493,0.28125,0.005657563058733751,1.0,0.5,34
2,-0.49976190476190485,0.21948161563790247,0.4828717252432738,0.411915248250369,0.5607936805179042,-0.04652682275142961,0.17966852225485502,0.02774061748804401,0.3047813957372687,0.3333333333333333,0.00430728566571383,0.35,0.8571428571428571,7
3,-0.10571428571428576,0.19081541112994613,0.4885198379763992,0.39020427757636267,0.4977099679549718,-0.002206917244175023,0.18550155246635824,0.02516107724825494,0.2732574330890908,0.42857142857142855,0.0072848935852960804,0.35,0.125,8
4,-0.08071428571428574,0.18630372856363372,0.49907228290589484,0.3851000087335508,0.5482487829056762,-0.026527656296725613,0.19034370827932995,0.027662139865078754,0.2669699756694636,0.42857142857142855,0.003649961923220186,0.35,0.0,8
5,-0.06571428571428573,0.19031943308514115,0.49864101171618025,0.3983863445950485,0.4956344826589945,-0.007900989696142141,0.19180120453079672,0.04381121317835615,0.1632241058484151,0.42857142857142855,0.005991577065077501,0.4,0.0,8
6,-0.47666666666666674,0.20636800285387802,0.4942397690859133,0.422407814020372,0.5157914141369419,-0.00914118048972782,0.19452844312653592,0.05295106602620385,0.2852358470105091,0.4,0.005168742798856596,0.3,0.8333333333333334,6
7,-0.19047619047619047,0.2126805934516231,0.5136007111757701,0.4408721271166798,0.48298676181850064,-0.04487534014390042,0.16000655898235078,0.050135608065105676,0.31115240707173597,0.2,-0.0009668651393601347,1.0,0.9523809523809523,21
8,0.42833333333333334,0.1841206119443818,0.5143797745195577,0.41464964152802003,0.5623495670942125,-0.036436858708503814,0.18679541798169758,0.05510675070290745,0.16260142526427884,0.4666666666666667,0.014568674248164904,0.65,0.0,16
9,-0.22013071895424838,0.20327382972945543,0.49035288991690307,0.40692201669358685,0.42404312753642565,-0.010398821844655001,0.16834979465747615,0.03252894189311198,0.20586546428273567,0.23529411764705882,0.00237375179083041,0.8,0.8888888888888888,18
