number,value,state,param_learning_rate,param_max_depth,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_n_estimators,param_reg_alpha,param_reg_lambda
0,0.29213930876922667,TrialState.COMPLETE,0.01527396346522173,10,93,50,0.7537909255976225,0.658673526571036,334,0.17220222530766505,0.23131202378204108
1,0.2911754867197431,TrialState.COMPLETE,0.06882879668055272,9,41,32,0.6953674343803448,0.7900478586740508,249,0.40449909599931744,0.10004295972931398
2,0.2912963896331273,TrialState.COMPLETE,0.07913378365789023,8,19,32,0.6129977317296722,0.6841928258567372,297,0.0789372956958369,0.056900782540594386
3,0.29426669588560783,TrialState.COMPLETE,0.020988177843928344,8,58,21,0.9606437066949884,0.6676929732805513,159,0.2000829494774956,0.1623460744241378
4,0.29181145977582107,TrialState.COMPLETE,0.015242467728096816,5,50,15,0.7478861329983248,0.9691430830240656,348,0.49257705430905524,0.21719574136139025
5,0.291958041958042,TrialState.COMPLETE,0.027191093558745272,9,77,17,0.8365129243081154,0.7225327679826434,332,0.3979017041908558,0.1719916488948498
6,0.2919130856685768,TrialState.COMPLETE,0.018417314710485518,5,106,34,0.8138524505864962,0.9327991224549927,268,0.007028359732015266,0.49294328354201367
7,0.294770749091906,TrialState.COMPLETE,0.014863039077213211,9,102,39,0.8281480036526054,0.9234523135809061,245,0.4720377893954311,0.010390152295447486
8,0.29317009441458913,TrialState.COMPLETE,0.011162493006134663,6,106,14,0.7355303784350032,0.8478562955051547,346,0.3947963799450368,0.03188078850805648
9,0.2908329758050886,TrialState.COMPLETE,0.026705327486219888,8,21,16,0.8962766908172322,0.9492768808245219,385,0.29584769731290705,0.07110963073844234
10,0.3118051776412967,TrialState.COMPLETE,0.010099224668371327,10,125,59,0.9924691052593602,0.8848938290276683,179,0.29676378467453746,0.0026374612284536135
11,0.3103128664926418,TrialState.COMPLETE,0.010143739678613924,10,125,59,0.99363021653458,0.8693257825233583,182,0.30210975677267105,0.023445539758178067
12,0.29216887661388713,TrialState.COMPLETE,0.01035556996925225,10,128,58,0.9800957398890567,0.8623524966069217,495,0.32125234758055493,0.12288813300434726
13,0.3090061546305401,TrialState.COMPLETE,0.010814579790303723,10,126,60,0.9922206357745514,0.8746737093644339,177,0.2597340060019908,0.00883126959607727
14,0.29149846116951117,TrialState.COMPLETE,0.041628477784183736,7,118,49,0.9218408930024609,0.7915617686473309,202,0.320532684445965,0.30194476391598224
15,0.30095979491027325,TrialState.COMPLETE,0.010934700394073262,4,83,52,0.9330719647015734,0.9881287671594285,207,0.19912412886346914,0.00029206414787728494
16,0.2920210774086556,TrialState.COMPLETE,0.04034321819938068,10,114,43,0.9956175519004743,0.8918901330382332,150,0.2612680996246659,0.08117186552155979
17,0.2918782397122607,TrialState.COMPLETE,0.013734583757771163,7,90,55,0.8827286924954257,0.8141443616050444,415,0.3378409424646567,0.12302471510200809
18,0.2930062574171971,TrialState.COMPLETE,0.02161821943693338,9,116,45,0.9391329448010713,0.9983810859679445,200,0.2268205228956973,0.05673299067336729
19,0.2952,TrialState.COMPLETE,0.013382946388915039,8,61,26,0.8721518589965181,0.6074371330165976,228,0.14556796965398588,0.2954241960952025
20,0.2925180009033664,TrialState.COMPLETE,0.018731282602550883,10,97,54,0.9540629967747942,0.905503095741095,282,0.26674840337279804,0.003555131596881995
21,0.3124595119844526,TrialState.COMPLETE,0.010160843844454235,10,128,59,0.9985971391954994,0.8781834553055099,176,0.25599236567582456,0.043094091932214584
22,0.3111663479923518,TrialState.COMPLETE,0.010079055340742018,9,127,60,0.9990882353605154,0.9079197018568996,182,0.3571759794001287,0.05154814290411907
23,0.2975906071553432,TrialState.COMPLETE,0.012362644595347106,9,112,46,0.9637944737615631,0.9135745693756628,225,0.3604786220599646,0.06073957309818117
24,0.31283305495903924,TrialState.COMPLETE,0.010003341632021956,9,119,54,0.9181135040777095,0.951690798521257,176,0.28465355920583946,0.10370473601852333
25,0.3078769985949811,TrialState.COMPLETE,0.012418238139984338,10,119,55,0.9136328352950895,0.9480085082582207,157,0.2426810929366204,0.10964741425912182
26,0.29375590648240724,TrialState.COMPLETE,0.01605676238181599,9,109,38,0.9523129984759362,0.9569511745926649,226,0.2801127030763431,0.09081501129378734
27,0.293897289197657,TrialState.COMPLETE,0.012589924627535144,8,86,48,0.9052626341708899,0.8338876183148768,295,0.22140655040936796,0.04652098793578986
28,0.3008238316000501,TrialState.COMPLETE,0.012304256630541516,10,100,56,0.9658883430155063,0.8872580981550705,189,0.29328506508777963,0.14034023301346074
29,0.29174462889977043,TrialState.COMPLETE,0.015612015232850336,10,94,53,0.860325650939519,0.929080780326749,472,0.17971703232882386,0.03229659432008064
30,0.2939314128194981,TrialState.COMPLETE,0.014022048671720142,9,70,51,0.9309590137858422,0.9752091409112361,254,0.1479276788851325,0.07530223617270139
31,0.3128334350453767,TrialState.COMPLETE,0.01018704413140058,9,122,60,0.9943372994126466,0.8898358394339713,175,0.3316554797792028,0.03993334635963787
32,0.30950589875786655,TrialState.COMPLETE,0.011623668967304001,10,121,57,0.9726458091791211,0.8908938006029634,163,0.25274982516998173,0.09252452782125489
33,0.30060385729250105,TrialState.COMPLETE,0.011587562412507038,9,121,60,0.9397384181084969,0.8386029590769888,211,0.341579436321794,0.04038896343635242
34,0.31493231373359515,TrialState.COMPLETE,0.010093346056584419,8,112,51,0.9692380658525125,0.9385550976802499,171,0.2902758052072574,0.0011344347516830527
35,0.296050575365819,TrialState.COMPLETE,0.0128120564716134,8,111,50,0.9689207559340461,0.9390244148888551,240,0.37384927865076756,0.03529677502888793
36,0.3173722196429325,TrialState.COMPLETE,0.010000751334353892,7,32,42,0.9029211103985069,0.9764076332041428,167,0.3184325253835318,0.0956104427640488
37,0.29770508244594557,TrialState.COMPLETE,0.01694631715092917,7,35,42,0.8980563062115446,0.9779521038479755,151,0.32430989155829876,0.1560129486210454
38,0.292741946206108,TrialState.COMPLETE,0.015059467599797781,6,40,28,0.8616935015709786,0.9994804102014918,269,0.4073812899031105,0.1039350817843574
39,0.2919282452191995,TrialState.COMPLETE,0.01379803872887279,8,31,39,0.7855201620038782,0.9665817565618698,318,0.28479255043360535,0.19110608406617968
40,0.2988113926889437,TrialState.COMPLETE,0.011940111228043953,6,59,46,0.915871090829204,0.94893330320218,213,0.4188738585313092,0.1326938238902698
41,0.31705777123013784,TrialState.COMPLETE,0.010200484334692282,8,50,51,0.9498469568759205,0.926973795986928,165,0.23516029541181727,0.0725735545371529
42,0.31192695095547396,TrialState.COMPLETE,0.011069422227271667,8,50,48,0.9523232739418975,0.9231822977556511,165,0.3118929743324829,0.07958442245114711
43,0.308448321908662,TrialState.COMPLETE,0.010001522200166145,7,24,43,0.9426086235203611,0.9631158744191202,190,0.2309278034374287,0.06629544920564184
44,0.3001695437731196,TrialState.COMPLETE,0.014034828142881357,8,53,11,0.9250869065734697,0.9361473817992472,168,0.27202262560705004,0.10715751998300688
45,0.30016458753134084,TrialState.COMPLETE,0.012065695408865483,7,41,52,0.9774364988857001,0.9741054919149884,195,0.30854645548711684,0.023554263325700188
46,0.291144691512684,TrialState.COMPLETE,0.01132455071660474,6,16,37,0.8931186859732217,0.9266818856689067,392,0.28601158051667214,0.06676240723878445
47,0.3095290736237011,TrialState.COMPLETE,0.011084085489633345,8,105,57,0.9111604604617832,0.9534121984301109,170,0.3265387337788143,0.025409742329721274
48,0.2947883642026809,TrialState.COMPLETE,0.014545815887037721,7,65,31,0.9745654675335271,0.9106263374128385,220,0.302073331089433,0.09670780696549884
49,0.2973224273946332,TrialState.COMPLETE,0.0110492806654866,9,29,41,0.951952346733756,0.939111382178559,241,0.3420472348553051,0.1486900562999524
50,0.29823801702254743,TrialState.COMPLETE,0.012984995864892278,8,79,50,0.9267818029785243,0.9811150078844781,198,0.37049723325570116,0.17265498669219176
