Grouping,GroupLabel,Observations,PositiveRatio,Top3Hits,Top3Selected,Top3Precision
liquidity,Mid,6450,0.2596899224806202,29,93,0.3118279569892473
liquidity,Low,6450,0.2434108527131783,26,90,0.28888888888888886
liquidity,High,6708,0.28652355396541446,21,75,0.28
sector,Unknown,19608,0.26351489188086497,76,258,0.29457364341085274
volatility,Neutral,6450,0.26325581395348835,17,52,0.3269230769230769
volatility,Active,6708,0.30963029218843174,43,144,0.2986111111111111
volatility,Calm,6450,0.2158139534883721,16,62,0.25806451612903225
