number,value,state,param_learning_rate,param_max_depth,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_n_estimators,param_reg_alpha,param_reg_lambda
0,0.356935817805383,TrialState.COMPLETE,0.028843270278467562,9,30,30,0.7435886125645366,0.8345615392560822,353,0.34829462496728825,0.11202981632887415
1,0.32629399585921326,TrialState.COMPLETE,0.012346875405968035,8,86,28,0.9318914198540889,0.9248398247208788,231,0.22109147268169593,0.08381043637765018
2,0.3122153209109731,TrialState.COMPLETE,0.05230877170687359,6,42,36,0.7558790401823521,0.7120746259773334,424,0.25195956073847425,0.3650333093236467
3,0.29358178053830225,TrialState.COMPLETE,0.09447290507178546,7,116,17,0.701271149343749,0.8365567991745178,306,0.05905707743491018,0.27629778467135097
4,0.30890269151138716,TrialState.COMPLETE,0.07304213913501165,7,38,26,0.7222089764301018,0.6594717429692972,298,0.08022676671016082,0.4244511028232299
5,0.30807453416149067,TrialState.COMPLETE,0.04672123093662485,7,71,43,0.7337868471438065,0.8918907927563677,212,0.4274188928165443,0.3773942491567622
6,0.32836438923395445,TrialState.COMPLETE,0.02815379950302209,6,122,58,0.8802343916935016,0.6591964444369902,448,0.4902290776754877,0.22500356295023138
7,0.3250517598343685,TrialState.COMPLETE,0.022746353529410315,8,91,32,0.7533924300113286,0.8624211218459017,389,0.07316010256284916,0.27190717491637656
8,0.3296066252587992,TrialState.COMPLETE,0.028445779322478236,5,94,58,0.8225015001659135,0.6049314299096095,492,0.09059450278784531,0.4674877515771001
9,0.31387163561076603,TrialState.COMPLETE,0.03253108620466647,5,52,35,0.7015291256814296,0.6361763128340991,321,0.03424966946016561,0.20722193243625858
10,0.35031055900621116,TrialState.COMPLETE,0.01639618598850444,10,20,16,0.6024323097256313,0.9820323807756886,362,0.357743295741196,0.009328065377957995
11,0.3573498964803313,TrialState.COMPLETE,0.016881696993410012,10,17,10,0.6016924238238578,0.9667250174441422,372,0.3671217179198634,0.007623631036713707
12,0.3606625258799172,TrialState.COMPLETE,0.018489197448036905,10,18,12,0.6007059633984031,0.7761575167679612,371,0.33521333848093965,0.08723770543500664
13,0.3577639751552795,TrialState.COMPLETE,0.016044955384471107,10,18,10,0.6008883569625472,0.7434144025269973,258,0.3148368695973598,0.007632783944549378
14,0.3445134575569358,TrialState.COMPLETE,0.010841693675871166,9,55,11,0.6479082544802689,0.7681916344936021,151,0.2708124913335375,0.08958702243273683
15,0.3515527950310559,TrialState.COMPLETE,0.01632448696580045,10,16,20,0.6527439383284415,0.7645121407322981,252,0.18232793768242755,0.14743757177337466
16,0.3565217391304348,TrialState.COMPLETE,0.01001397861875961,9,61,21,0.6538797871812916,0.7321492786606847,276,0.30106193593558456,0.00010705243205135547
17,0.32836438923395445,TrialState.COMPLETE,0.021239488154289998,4,32,47,0.8046033305659895,0.8019432783686636,184,0.3081911788818283,0.053854356728128716
18,0.36231884057971014,TrialState.COMPLETE,0.013624413588587509,8,42,14,0.9990016340557597,0.7162788903498701,411,0.17560204598806817,0.1503489521435508
19,0.35942028985507246,TrialState.COMPLETE,0.014118602148272617,8,45,22,0.9576560238290344,0.7013009924905955,423,0.16997502558371147,0.15338259231110868
20,0.35942028985507246,TrialState.COMPLETE,0.012598657292096301,9,71,17,0.9691700454875635,0.7846837337580816,497,0.13630025396244586,0.14584497432928006
21,0.3627329192546584,TrialState.COMPLETE,0.013298925780605415,8,45,25,0.9852160944565403,0.7076850350917545,430,0.19048014508619934,0.1755270647520173
22,0.3648033126293996,TrialState.COMPLETE,0.010027119835341252,8,30,25,0.9849044240350431,0.7023140247054706,457,0.2219801035281053,0.18306131493029348
23,0.35196687370600416,TrialState.COMPLETE,0.010042176879382957,8,31,24,0.9819372531552694,0.6919246059065944,456,0.21729191839749412,0.19135097494895842
24,0.3656314699792961,TrialState.COMPLETE,0.012904507114436045,8,62,35,0.9902434925171067,0.7274238124855738,411,0.13671763187029295,0.24763654800657997
25,0.3590062111801242,TrialState.COMPLETE,0.01196599035674999,6,64,40,0.9323472248867483,0.6819470233846476,462,0.11988030323370408,0.28064116968461156
26,0.3627329192546584,TrialState.COMPLETE,0.014217313471147014,7,79,50,0.9941312470094709,0.7396106907157566,409,0.008369350534865094,0.23301097499373258
27,0.3730848861283644,TrialState.COMPLETE,0.011850481917215161,8,54,33,0.8942839751990956,0.6713611935155166,468,0.13510628826232432,0.19970828351001196
28,0.36770186335403726,TrialState.COMPLETE,0.01125462514646413,9,59,38,0.8961918933948896,0.6723893438884452,480,0.1134863406049163,0.2554747047064965
29,0.367287784679089,TrialState.COMPLETE,0.011540972523305935,9,57,32,0.8788235215796236,0.6683910018455061,486,0.12290836622462224,0.3150366418866495
