selected_count,valid_count,precision,avg_return,avg_net_return,median_return,hit_count,fallback_count,days_with_signals,threshold_up,threshold_down,threshold_risk,weight_up,weight_down,weight_risk,coverage_rate,total_days,weighted_score
41,41,0.4146341463414634,0.005902071671304569,0.0039020716713045675,0.0,17,0,33,0.18,0.5,0.4,1.0,0.5,0.4,0.55,60,0.30495110930626945
120,118,0.288135593220339,0.003349206882508702,0.0013492068825087004,0.00032458502420951163,34,0,60,0.12,0.5,0.3,1.0,0.5,0.4,1.0,60,0.27328611799695607
120,118,0.288135593220339,0.003349206882508702,0.0013492068825087004,0.00032458502420951163,34,0,60,0.12,0.5,0.35,1.0,0.5,0.4,1.0,60,0.27328611799695607
120,118,0.288135593220339,0.003349206882508702,0.0013492068825087004,0.00032458502420951163,34,0,60,0.12,0.5,0.4,1.0,0.5,0.4,1.0,60,0.27328611799695607
113,112,0.2767857142857143,0.0018778615431231302,-0.00012213845687687047,0.00034837834504874987,31,0,59,0.14,0.5,0.3,1.0,0.5,0.4,0.9833333333333333,60,0.26436812036769886
119,117,0.27350427350427353,0.0021804702577428482,0.00018047025774284737,0.0005703422053231488,32,0,60,0.14,0.5,0.4,1.0,0.5,0.4,1.0,60,0.264156705179887
118,116,0.2672413793103448,0.0018660193574011159,-0.00013398064259888517,0.00047015075489986735,31,0,60,0.14,0.5,0.35,1.0,0.5,0.4,1.0,60,0.26030463339342724
90,89,0.2808988764044944,0.003019197415735371,0.0010191974157353699,0.0004370629370629153,25,0,53,0.16,0.5,0.4,1.0,0.5,0.4,0.8833333333333333,60,0.2571784184007506
81,80,0.25,0.002369190546033538,0.0003691905460335365,0.0003819301613419146,20,0,52,0.16,0.5,0.35,1.0,0.5,0.4,0.8666666666666667,60,0.23677742383047679
67,66,0.19696969696969696,0.0007140483040481915,-0.0012859516959518097,0.0001611863313990547,13,0,45,0.16,0.5,0.3,1.0,0.5,0.4,0.75,60,0.19279603267303266
