selected_count,valid_count,precision,avg_return,avg_net_return,median_return,hit_count,fallback_count,days_with_signals,threshold_up,threshold_down,threshold_risk,weight_up,weight_down,weight_risk,coverage_rate,total_days,fallback_min_passed_ratio,weighted_score
177,175,0.25142857142857145,0.0012552553268030055,-0.0007447446731969955,0.0,44,99,120,0.18,0.52,0.45,1.0,0.5,0.4,1.0,120,0.4,0.3254908623123266
177,175,0.25142857142857145,0.0012552553268030055,-0.0007447446731969955,0.0,44,99,120,0.18,0.52,0.45,1.0,0.5,0.4,1.0,120,0.45,0.3254908623123266
177,175,0.25142857142857145,0.0012552553268030055,-0.0007447446731969955,0.0,44,99,120,0.18,0.52,0.45,1.0,0.5,0.4,1.0,120,0.5,0.3254908623123266
175,173,0.24277456647398843,0.001424624647994128,-0.0005753753520058727,0.0,42,106,120,0.18,0.52,0.4,1.0,0.5,0.4,1.0,120,0.4,0.3212146706313925
175,173,0.24277456647398843,0.001424624647994128,-0.0005753753520058727,0.0,42,106,120,0.18,0.52,0.4,1.0,0.5,0.4,1.0,120,0.45,0.3212146706313925
175,173,0.24277456647398843,0.001424624647994128,-0.0005753753520058727,0.0,42,106,120,0.18,0.52,0.4,1.0,0.5,0.4,1.0,120,0.5,0.3212146706313925
171,169,0.24260355029585798,0.0008375530198225737,-0.0011624469801774272,0.0,41,105,120,0.18,0.5,0.45,1.0,0.5,0.4,1.0,120,0.4,0.3209530410538758
171,169,0.24260355029585798,0.0008375530198225737,-0.0011624469801774272,0.0,41,105,120,0.18,0.5,0.45,1.0,0.5,0.4,1.0,120,0.45,0.3209530410538758
171,169,0.24260355029585798,0.0008375530198225737,-0.0011624469801774272,0.0,41,105,120,0.18,0.5,0.45,1.0,0.5,0.4,1.0,120,0.5,0.3209530410538758
132,131,0.2366412213740458,0.0011171473366138219,-0.0008828526633861792,0.0,31,119,120,0.2,0.52,0.45,1.0,0.5,0.4,1.0,120,0.4,0.3180557548880071
132,131,0.2366412213740458,0.0011171473366138219,-0.0008828526633861792,0.0,31,119,120,0.2,0.52,0.45,1.0,0.5,0.4,1.0,120,0.45,0.3180557548880071
132,131,0.2366412213740458,0.0011171473366138219,-0.0008828526633861792,0.0,31,119,120,0.2,0.52,0.45,1.0,0.5,0.4,1.0,120,0.5,0.3180557548880071
150,148,0.23648648648648649,0.0010990173517723772,-0.0009009826482276236,0.00021853146853145766,35,118,120,0.19,0.52,0.45,1.0,0.5,0.4,1.0,120,0.4,0.317972948448775
150,148,0.23648648648648649,0.0010990173517723772,-0.0009009826482276236,0.00021853146853145766,35,118,120,0.19,0.52,0.45,1.0,0.5,0.4,1.0,120,0.45,0.317972948448775
150,148,0.23648648648648649,0.0010990173517723772,-0.0009009826482276236,0.00021853146853145766,35,118,120,0.19,0.52,0.45,1.0,0.5,0.4,1.0,120,0.5,0.317972948448775
169,167,0.23353293413173654,0.00119905372454562,-0.0008009462754543811,0.0,39,108,120,0.18,0.5,0.4,1.0,0.5,0.4,1.0,120,0.4,0.31652618318323195
169,167,0.23353293413173654,0.00119905372454562,-0.0008009462754543811,0.0,39,108,120,0.18,0.5,0.4,1.0,0.5,0.4,1.0,120,0.45,0.31652618318323195
169,167,0.23353293413173654,0.00119905372454562,-0.0008009462754543811,0.0,39,108,120,0.18,0.5,0.4,1.0,0.5,0.4,1.0,120,0.5,0.31652618318323195
130,129,0.23255813953488372,0.0012782174258346678,-0.0007217825741653329,0.0,30,119,120,0.2,0.52,0.4,1.0,0.5,0.4,1.0,120,0.4,0.31606253499519227
130,129,0.23255813953488372,0.0012782174258346678,-0.0007217825741653329,0.0,30,119,120,0.2,0.52,0.4,1.0,0.5,0.4,1.0,120,0.45,0.31606253499519227
130,129,0.23255813953488372,0.0012782174258346678,-0.0007217825741653329,0.0,30,119,120,0.2,0.52,0.4,1.0,0.5,0.4,1.0,120,0.5,0.31606253499519227
131,130,0.23076923076923078,0.0013152468495936432,-0.0006847531504063575,-0.0002277904328017999,30,120,120,0.2,0.5,0.45,1.0,0.5,0.4,1.0,120,0.4,0.3151791894394935
131,130,0.23076923076923078,0.0013152468495936432,-0.0006847531504063575,-0.0002277904328017999,30,120,120,0.2,0.5,0.45,1.0,0.5,0.4,1.0,120,0.45,0.3151791894394935
131,130,0.23076923076923078,0.0013152468495936432,-0.0006847531504063575,-0.0002277904328017999,30,120,120,0.2,0.5,0.45,1.0,0.5,0.4,1.0,120,0.5,0.3151791894394935
146,144,0.22916666666666666,0.0010662150074225193,-0.0009337849925774816,0.00021853146853145766,33,118,120,0.19,0.52,0.4,1.0,0.5,0.4,1.0,120,0.4,0.3143031978355601
146,144,0.22916666666666666,0.0010662150074225193,-0.0009337849925774816,0.00021853146853145766,33,118,120,0.19,0.52,0.4,1.0,0.5,0.4,1.0,120,0.45,0.3143031978355601
146,144,0.22916666666666666,0.0010662150074225193,-0.0009337849925774816,0.00021853146853145766,33,118,120,0.19,0.52,0.4,1.0,0.5,0.4,1.0,120,0.5,0.3143031978355601
166,164,0.22560975609756098,0.002323877106243387,0.00032387710624338624,0.0,37,110,120,0.18,0.52,0.35,1.0,0.5,0.4,1.0,120,0.4,0.3129020411806535
166,164,0.22560975609756098,0.002323877106243387,0.00032387710624338624,0.0,37,110,120,0.18,0.52,0.35,1.0,0.5,0.4,1.0,120,0.45,0.3129020411806535
166,164,0.22560975609756098,0.002323877106243387,0.00032387710624338624,0.0,37,110,120,0.18,0.52,0.35,1.0,0.5,0.4,1.0,120,0.5,0.3129020411806535
130,129,0.2248062015503876,0.001189691732253273,-0.0008103082677467276,-0.0004555808656035998,29,120,120,0.2,0.5,0.4,1.0,0.5,0.4,1.0,120,0.4,0.3121600082948698
130,129,0.2248062015503876,0.001189691732253273,-0.0008103082677467276,-0.0004555808656035998,29,120,120,0.2,0.5,0.4,1.0,0.5,0.4,1.0,120,0.45,0.3121600082948698
130,129,0.2248062015503876,0.001189691732253273,-0.0008103082677467276,-0.0004555808656035998,29,120,120,0.2,0.5,0.4,1.0,0.5,0.4,1.0,120,0.5,0.3121600082948698
145,143,0.22377622377622378,0.00085274033896512,-0.0011472596610348806,0.0,32,120,120,0.19,0.5,0.45,1.0,0.5,0.4,1.0,120,0.4,0.3115439339898014
145,143,0.22377622377622378,0.00085274033896512,-0.0011472596610348806,0.0,32,120,120,0.19,0.5,0.45,1.0,0.5,0.4,1.0,120,0.45,0.3115439339898014
145,143,0.22377622377622378,0.00085274033896512,-0.0011472596610348806,0.0,32,120,120,0.19,0.5,0.45,1.0,0.5,0.4,1.0,120,0.5,0.3115439339898014
142,140,0.22142857142857142,0.001441353368162996,-0.0005586466318370047,0.00021853146853145766,31,118,120,0.19,0.52,0.35,1.0,0.5,0.4,1.0,120,0.4,0.3105466917247346
142,140,0.22142857142857142,0.001441353368162996,-0.0005586466318370047,0.00021853146853145766,31,118,120,0.19,0.52,0.35,1.0,0.5,0.4,1.0,120,0.45,0.3105466917247346
142,140,0.22142857142857142,0.001441353368162996,-0.0005586466318370047,0.00021853146853145766,31,118,120,0.19,0.52,0.35,1.0,0.5,0.4,1.0,120,0.5,0.3105466917247346
129,128,0.21875,0.000930710018597204,-0.0010692899814027969,-0.0005345388990594668,28,120,120,0.2,0.52,0.35,1.0,0.5,0.4,1.0,120,0.4,0.30905421300557917
129,128,0.21875,0.000930710018597204,-0.0010692899814027969,-0.0005345388990594668,28,120,120,0.2,0.52,0.35,1.0,0.5,0.4,1.0,120,0.45,0.30905421300557917
129,128,0.21875,0.000930710018597204,-0.0010692899814027969,-0.0005345388990594668,28,120,120,0.2,0.52,0.35,1.0,0.5,0.4,1.0,120,0.5,0.30905421300557917
144,142,0.21830985915492956,0.0007354226160951464,-0.001264577383904854,0.0,31,120,120,0.19,0.5,0.4,1.0,0.5,0.4,1.0,120,0.4,0.30877555636229337
144,142,0.21830985915492956,0.0007354226160951464,-0.001264577383904854,0.0,31,120,120,0.19,0.5,0.4,1.0,0.5,0.4,1.0,120,0.45,0.30877555636229337
144,142,0.21830985915492956,0.0007354226160951464,-0.001264577383904854,0.0,31,120,120,0.19,0.5,0.4,1.0,0.5,0.4,1.0,120,0.5,0.30877555636229337
127,126,0.21428571428571427,0.0006973410526342316,-0.0013026589473657693,-0.0005345388990594668,27,120,120,0.2,0.48,0.4,1.0,0.5,0.4,1.0,120,0.4,0.3067520594586474
127,126,0.21428571428571427,0.0006973410526342316,-0.0013026589473657693,-0.0005345388990594668,27,120,120,0.2,0.48,0.4,1.0,0.5,0.4,1.0,120,0.45,0.3067520594586474
127,126,0.21428571428571427,0.0006973410526342316,-0.0013026589473657693,-0.0005345388990594668,27,120,120,0.2,0.48,0.4,1.0,0.5,0.4,1.0,120,0.5,0.3067520594586474
127,126,0.21428571428571427,0.0006973410526342316,-0.0013026589473657693,-0.0005345388990594668,27,120,120,0.2,0.48,0.45,1.0,0.5,0.4,1.0,120,0.4,0.3067520594586474
