window_days,min_samples,final_accuracy,final_precision,final_recall,wfo_mean_accuracy,wfo_precision_mean,wfo_precision_median,cal_brier,cal_ece,cal_sample_size,cal_positive_rate,model_path
21,3000,0.6171804793955288,0.30361217217422515,0.44814015968517046,0.6405741553852466,0.34513768579144644,0.3519928219954568,0.17541822743801894,0.007020477840815347,4788.0,0.23851294903926482,
21,4500,0.6171804793955288,0.30361217217422515,0.44814015968517046,0.6405741553852466,0.34513768579144644,0.3519928219954568,0.17541822743801894,0.007020477840815347,4788.0,0.23851294903926482,
21,6000,0.6164691124604589,0.30255851104292925,0.4482344102178813,0.6405741553852466,0.34513768579144644,0.3519928219954568,,,,,
30,3000,0.6208074076801297,0.3043821347782629,0.4396155453405767,0.6405741553852466,0.34513768579144644,0.3519928219954568,0.1852484654999897,0.0033325403269871888,6840.0,0.25292397660818716,
30,4500,0.6208074076801297,0.3043821347782629,0.4396155453405767,0.6405741553852466,0.34513768579144644,0.3519928219954568,0.1852484654999897,0.0033325403269871888,6840.0,0.25292397660818716,
30,6000,0.6208074076801297,0.3043821347782629,0.4396155453405767,0.6405741553852466,0.34513768579144644,0.3519928219954568,0.1852484654999897,0.0033325403269871888,6840.0,0.25292397660818716,
45,3000,0.6236661726565395,0.3054163428295768,0.436494561054083,0.6405741553852466,0.34513768579144644,0.3519928219954568,0.19270274918631214,0.005980707974898626,10260.0,0.26715399610136453,
45,4500,0.6236661726565395,0.3054163428295768,0.436494561054083,0.6405741553852466,0.34513768579144644,0.3519928219954568,0.19270274918631214,0.005980707974898626,10260.0,0.26715399610136453,
45,6000,0.6236661726565395,0.3054163428295768,0.436494561054083,0.6405741553852466,0.34513768579144644,0.3519928219954568,0.19270274918631214,0.005980707974898626,10260.0,0.26715399610136453,
60,3000,0.6227674409933256,0.3033170230596632,0.43292047690704943,0.6405741553852466,0.34513768579144644,0.3519928219954568,0.19300841492498988,0.005425575739135174,13680.0,0.2687134502923977,
60,4500,0.6227674409933256,0.3033170230596632,0.43292047690704943,0.6405741553852466,0.34513768579144644,0.3519928219954568,0.19300841492498988,0.005425575739135174,13680.0,0.2687134502923977,
60,6000,0.6227674409933256,0.3033170230596632,0.43292047690704943,0.6405741553852466,0.34513768579144644,0.3519928219954568,0.19300841492498988,0.005425575739135174,13680.0,0.2687134502923977,
