Date,signals,positives,avg_prob,avg_return,total_return,next_date
2025-10-02,2,2,0.4285606925923907,0.0323492644465268,0.0655120336351051,2025-10-03
2025-10-06,1,0,0.4107194873485938,-0.0071014763595589,-0.0071014763595589,2025-10-07
2025-10-07,2,1,0.4125642427280507,0.0270732607291886,0.0544802400603405,2025-10-08
2025-10-10,1,1,0.4168134236808301,0.1341463414634145,0.1341463414634145,2025-10-14
2025-10-14,1,1,0.4243286614909457,0.0318302387267903,0.0318302387267903,2025-10-15
2025-10-15,1,0,0.4659714572169522,0.0038228735266008,0.0038228735266008,2025-10-16
2025-10-16,1,0,0.4240045908474653,-0.006347191367819739,-0.006347191367819739,2025-10-17
