code,company,recommendation_date,entry_date,exit_date,entry_price,exit_price,quantity,gross_profit,net_profit,return_pct,holding_days,status,notes,fees
65260,ソシオネクスト,2025-09-12,2025-09-12,2025-09-16,2837.4179999999997,3089.6943800000004,52,13118.371760000036,12964.266838120036,0.08891054472763645,4,hit_target,,154.10492188
40040,レゾナック・ホールディングス,2025-09-12,2025-09-12,2025-09-16,4353.175499999999,4740.218705,34,13159.468970000029,13004.881268515028,0.08891054472763639,4,hit_target,,154.587701485
80350,東京エレクトロン,2025-09-12,2025-09-12,2025-09-17,22011.0,23968.010000000002,6,11742.060000000012,11604.122970000013,0.08891054472763628,5,hit_target,,137.93703
40040,レゾナック・ホールディングス,2025-09-16,2025-09-16,2025-09-18,4735.3665,5156.390515000001,31,13051.744465000027,12898.422231267527,0.08891054472763636,2,hit_target,,153.32223373250002
80350,東京エレクトロン,2025-09-17,2025-09-17,2025-09-18,23511.75,25602.192500000005,6,12542.655000000028,12395.313172500028,0.08891054472763638,1,hit_target,,147.34182750000002
77350,ＳＣＲＥＥＮホールディングス,2025-09-16,2025-09-16,2025-09-19,12626.31,13748.922100000002,11,12348.733100000023,12203.669323450024,0.08891054472763635,3,hit_target,,145.06377655
34360,ＳＵＭＣＯ,2025-09-18,2025-09-18,2025-09-19,1408.704,1533.9526400000002,106,13276.355840000026,13120.395038080025,0.08891054472763636,1,hit_target,,155.96080192
69200,レーザーテック,2025-09-19,2025-09-19,2025-09-22,18474.2325,20116.786575000002,8,13140.43260000003,12986.068523700029,0.08891054472763639,3,hit_target,,154.36407630000002
70130,ＩＨＩ,2025-09-19,2025-09-19,2025-09-24,15757.875,17158.916250000002,9,12609.371250000018,12461.245689375017,0.0889105447276363,5,hit_target,,148.12556062500002
57060,三井金属鉱業,2025-09-18,2025-09-18,2025-09-25,10475.234999999999,11406.593850000001,14,13039.023900000033,12885.851098050034,0.08891054472763642,7,hit_target,,153.17280195
82330,高島屋,2025-09-22,2025-09-22,2025-09-25,1535.7675,1672.3134250000003,97,13244.954725000034,13089.362800137535,0.08891054472763642,3,hit_target,,155.5919248625
