analysis_date,selected_count,valid_count,hit_count,precision,avg_return,coverage,fallback_count,passed_all_count,fallback_ratio,passed_all_ratio
2025-09-01,1,1,1,1.0,0.0113924050632912,1.0,1,0,1.0,0.0
2025-09-02,1,1,0,0.0,-0.0143929912390489,1.0,1,0,1.0,0.0
2025-09-03,1,1,1,1.0,0.01015873015873,1.0,1,0,1.0,0.0
2025-09-04,1,1,0,0.0,0.0006285355122563,1.0,1,0,1.0,0.0
2025-09-05,2,2,0,0.0,-0.0032273720772059,1.0,1,1,0.5,0.5
2025-09-08,2,2,1,0.5,0.0083050059915384,1.0,0,2,0.0,1.0
2025-09-09,1,1,1,1.0,0.0195954487989886,1.0,1,0,1.0,0.0
2025-09-10,2,2,2,1.0,0.012212114377365,1.0,0,2,0.0,1.0
2025-09-11,2,2,1,0.5,0.0116843285550962,1.0,0,2,0.0,1.0
2025-09-12,1,1,0,0.0,-0.003095975232198178,1.0,0,1,0.0,1.0
2025-09-16,2,2,0,0.0,0.0,1.0,1,1,0.5,0.5
2025-09-17,2,2,0,0.0,-0.005591954116190623,1.0,0,2,0.0,1.0
2025-09-18,1,1,1,1.0,0.12489006156552329,1.0,0,1,0.0,1.0
2025-09-19,2,2,0,0.0,-0.005920168555170302,1.0,0,2,0.0,1.0
2025-09-22,2,2,1,0.5,0.0113638631978176,1.0,1,1,0.5,0.5
2025-09-24,2,2,2,1.0,0.02328162045341764,1.0,0,2,0.0,1.0
2025-09-25,2,2,1,0.5,-0.009168669655349238,1.0,0,2,0.0,1.0
2025-09-26,1,1,0,0.0,-0.0232558139534883,1.0,1,0,1.0,0.0
2025-09-29,1,1,0,0.0,-0.0045045045045045,1.0,1,0,1.0,0.0
2025-09-30,1,1,0,0.0,0.0006464124111185132,1.0,1,0,1.0,0.0
