analysis_date,selected_count,valid_count,hit_count,precision,avg_return,coverage,fallback_count,passed_all_count,fallback_ratio,passed_all_ratio
2025-06-02,1,1,0,0.0,-0.002270663033605791,1.0,1,0,1.0,0.0
2025-06-03,1,1,0,0.0,0.003186162949476712,1.0,1,0,1.0,0.0
2025-06-04,2,2,0,0.0,-0.007681044501823497,1.0,1,1,0.5,0.5
2025-06-05,1,1,0,0.0,0.004107713372889066,1.0,1,0,1.0,0.0
2025-06-06,1,1,0,0.0,-0.0006309148264983522,1.0,1,0,1.0,0.0
2025-06-09,2,2,0,0.0,-0.005011800566977698,1.0,1,1,0.5,0.5
2025-06-10,1,1,0,0.0,-0.0044557606619987,1.0,1,0,,
2025-06-11,1,1,0,0.0,-0.0031969309462915,1.0,1,0,,
2025-06-12,2,2,0,0.0,-0.0040764113436421,1.0,0,2,,
2025-06-13,2,2,0,0.0,0.0041601382155835,1.0,1,1,,
2025-06-16,1,1,0,0.0,-0.0096774193548386,1.0,1,0,,
2025-06-17,1,1,0,0.0,0.001954397394136942,1.0,1,0,1.0,0.0
2025-06-18,1,1,0,0.0,0.0032509752925877,1.0,1,0,,
2025-06-19,1,1,0,0.0,-0.0129617627997408,1.0,1,0,,
2025-06-20,1,1,0,0.0,-0.0131319763624425,1.0,1,0,,
2025-06-23,1,1,0,0.0,0.003992015968063756,1.0,1,0,1.0,0.0
2025-06-24,1,1,0,0.0,-0.0066269052352551,1.0,1,0,,
2025-06-25,1,1,0,0.0,-0.0040026684456303,1.0,1,0,,
2025-06-26,2,2,2,1.0,0.0107717207850238,1.0,1,1,,
2025-06-27,1,1,1,1.0,0.0198675496688742,1.0,1,0,,
2025-06-30,1,1,0,0.0,-0.0071428571428571175,1.0,1,0,1.0,0.0
