analysis_date,selected_count,valid_count,hit_count,precision,avg_return,coverage,fallback_count,passed_all_count,fallback_ratio,passed_all_ratio
2025-08-01,1,1,0,0.0,-0.017960230917254738,1.0,1,0,1.0,0.0
2025-08-04,2,2,1,0.5,0.011731507184846612,1.0,1,1,0.5,0.5
2025-08-05,2,2,1,0.5,0.01518445985413841,1.0,0,2,0.0,1.0
2025-08-06,2,2,2,1.0,0.01775976333138274,1.0,1,1,0.5,0.5
2025-08-07,2,2,2,1.0,0.03299235944408252,1.0,1,1,0.5,0.5
2025-08-08,2,2,1,0.5,0.025790687696859,1.0,0,2,,
2025-08-12,2,2,1,0.5,0.001577204542718,1.0,0,2,,
2025-08-13,2,2,0,0.0,-0.0092261507056986,1.0,1,1,,
2025-08-14,1,1,0,0.0,0.0061728395061728,1.0,1,0,,
2025-08-15,2,2,1,0.5,0.011305213477994291,1.0,1,1,0.5,0.5
2025-08-18,2,2,0,0.0,-0.0102309580455788,1.0,1,1,,
2025-08-19,1,1,0,0.0,-0.0030211480362537513,1.0,1,0,1.0,0.0
2025-08-20,2,2,0,0.0,-0.0115708101422386,1.0,1,1,,
2025-08-21,1,1,0,0.0,-0.0006134969325153,1.0,1,0,,
2025-08-22,2,2,0,0.0,-0.00980511805612816,1.0,1,1,0.5,0.5
2025-08-25,1,1,0,0.0,-0.0212632895559725,1.0,1,0,,
2025-08-26,1,1,0,0.0,0.0083067092651758,1.0,1,0,,
2025-08-27,1,1,0,0.0,-0.003168567807351,1.0,1,0,,
2025-08-28,2,2,0,0.0,-0.0068161520844981,1.0,0,2,,
2025-08-29,2,2,0,0.0,-0.06260273084685758,1.0,0,2,0.0,1.0
