max_hold_days,profit_target,stop_loss,total_return,final_value,win_rate,total_trades,prediction_accuracy,avg_profit,max_drawdown,avg_days_held
1,0.03,0.02,0.040458831000001166,1040458.8310000012,0.5025454545454545,2755,0.5195652173913043,216.9118313454549,-0.41933785977973465,1.512
1,0.04,0.02,0.040458831000001166,1040458.8310000012,0.5025454545454545,2755,0.5195652173913043,216.9118313454549,-0.41933785977973465,1.512
1,0.04,0.03,0.040458831000001166,1040458.8310000012,0.5025454545454545,2755,0.5195652173913043,216.9118313454549,-0.41933785977973465,1.512
1,0.05,0.02,0.040458831000001166,1040458.8310000012,0.5025454545454545,2755,0.5195652173913043,216.9118313454549,-0.41933785977973465,1.512
1,0.05,0.03,0.040458831000001166,1040458.8310000012,0.5025454545454545,2755,0.5195652173913043,216.9118313454549,-0.41933785977973465,1.512
1,0.05,0.04,0.040458831000001166,1040458.8310000012,0.5025454545454545,2755,0.5195652173913043,216.9118313454549,-0.41933785977973465,1.512
1,0.06,0.02,0.040458831000001166,1040458.8310000012,0.5025454545454545,2755,0.5195652173913043,216.9118313454549,-0.41933785977973465,1.512
1,0.06,0.03,0.040458831000001166,1040458.8310000012,0.5025454545454545,2755,0.5195652173913043,216.9118313454549,-0.41933785977973465,1.512
1,0.06,0.04,0.040458831000001166,1040458.8310000012,0.5025454545454545,2755,0.5195652173913043,216.9118313454549,-0.41933785977973465,1.512
1,0.06,0.05,0.040458831000001166,1040458.8310000012,0.5025454545454545,2755,0.5195652173913043,216.9118313454549,-0.41933785977973465,1.512
1,0.07,0.02,0.040458831000001166,1040458.8310000012,0.5025454545454545,2755,0.5195652173913043,216.9118313454549,-0.41933785977973465,1.512
1,0.07,0.03,0.040458831000001166,1040458.8310000012,0.5025454545454545,2755,0.5195652173913043,216.9118313454549,-0.41933785977973465,1.512
1,0.07,0.04,0.040458831000001166,1040458.8310000012,0.5025454545454545,2755,0.5195652173913043,216.9118313454549,-0.41933785977973465,1.512
1,0.07,0.05,0.040458831000001166,1040458.8310000012,0.5025454545454545,2755,0.5195652173913043,216.9118313454549,-0.41933785977973465,1.512
1,0.07,0.06,0.040458831000001166,1040458.8310000012,0.5025454545454545,2755,0.5195652173913043,216.9118313454549,-0.41933785977973465,1.512
1,0.08,0.02,0.040458831000001166,1040458.8310000012,0.5025454545454545,2755,0.5195652173913043,216.9118313454549,-0.41933785977973465,1.512
1,0.08,0.03,0.040458831000001166,1040458.8310000012,0.5025454545454545,2755,0.5195652173913043,216.9118313454549,-0.41933785977973465,1.512
1,0.08,0.04,0.040458831000001166,1040458.8310000012,0.5025454545454545,2755,0.5195652173913043,216.9118313454549,-0.41933785977973465,1.512
1,0.08,0.05,0.040458831000001166,1040458.8310000012,0.5025454545454545,2755,0.5195652173913043,216.9118313454549,-0.41933785977973465,1.512
1,0.08,0.06,0.040458831000001166,1040458.8310000012,0.5025454545454545,2755,0.5195652173913043,216.9118313454549,-0.41933785977973465,1.512
1,0.08,0.07,0.040458831000001166,1040458.8310000012,0.5025454545454545,2755,0.5195652173913043,216.9118313454549,-0.41933785977973465,1.512
1,0.09,0.02,0.040458831000001166,1040458.8310000012,0.5025454545454545,2755,0.5195652173913043,216.9118313454549,-0.41933785977973465,1.512
1,0.09,0.03,0.040458831000001166,1040458.8310000012,0.5025454545454545,2755,0.5195652173913043,216.9118313454549,-0.41933785977973465,1.512
1,0.09,0.04,0.040458831000001166,1040458.8310000012,0.5025454545454545,2755,0.5195652173913043,216.9118313454549,-0.41933785977973465,1.512
1,0.09,0.05,0.040458831000001166,1040458.8310000012,0.5025454545454545,2755,0.5195652173913043,216.9118313454549,-0.41933785977973465,1.512
1,0.09,0.06,0.040458831000001166,1040458.8310000012,0.5025454545454545,2755,0.5195652173913043,216.9118313454549,-0.41933785977973465,1.512
1,0.09,0.07,0.040458831000001166,1040458.8310000012,0.5025454545454545,2755,0.5195652173913043,216.9118313454549,-0.41933785977973465,1.512
1,0.09,0.08,0.040458831000001166,1040458.8310000012,0.5025454545454545,2755,0.5195652173913043,216.9118313454549,-0.41933785977973465,1.512
1,0.1,0.02,0.040458831000001166,1040458.8310000012,0.5025454545454545,2755,0.5195652173913043,216.9118313454549,-0.41933785977973465,1.512
1,0.1,0.03,0.040458831000001166,1040458.8310000012,0.5025454545454545,2755,0.5195652173913043,216.9118313454549,-0.41933785977973465,1.512
1,0.1,0.04,0.040458831000001166,1040458.8310000012,0.5025454545454545,2755,0.5195652173913043,216.9118313454549,-0.41933785977973465,1.512
1,0.1,0.05,0.040458831000001166,1040458.8310000012,0.5025454545454545,2755,0.5195652173913043,216.9118313454549,-0.41933785977973465,1.512
1,0.1,0.06,0.040458831000001166,1040458.8310000012,0.5025454545454545,2755,0.5195652173913043,216.9118313454549,-0.41933785977973465,1.512
1,0.1,0.07,0.040458831000001166,1040458.8310000012,0.5025454545454545,2755,0.5195652173913043,216.9118313454549,-0.41933785977973465,1.512
1,0.1,0.08,0.040458831000001166,1040458.8310000012,0.5025454545454545,2755,0.5195652173913043,216.9118313454549,-0.41933785977973465,1.512
1,0.12,0.02,0.040458831000001166,1040458.8310000012,0.5025454545454545,2755,0.5195652173913043,216.9118313454549,-0.41933785977973465,1.512
1,0.12,0.03,0.040458831000001166,1040458.8310000012,0.5025454545454545,2755,0.5195652173913043,216.9118313454549,-0.41933785977973465,1.512
1,0.12,0.04,0.040458831000001166,1040458.8310000012,0.5025454545454545,2755,0.5195652173913043,216.9118313454549,-0.41933785977973465,1.512
