max_hold_days,profit_target,stop_loss,total_return,annual_return,final_value,win_rate,total_trades,prediction_accuracy,avg_profit,max_drawdown,avg_days_held
1,0.02,0.01,0.147193586300001,0.147193586300001,1147193.586300001,0.5041916167664671,1675,0.5190476190476191,364.19857628742506,-0.27562784836950205,1.570059880239521
1,0.03,0.01,0.147193586300001,0.147193586300001,1147193.586300001,0.5041916167664671,1675,0.5190476190476191,364.19857628742506,-0.27562784836950205,1.570059880239521
1,0.03,0.02,0.147193586300001,0.147193586300001,1147193.586300001,0.5041916167664671,1675,0.5190476190476191,364.19857628742506,-0.27562784836950205,1.570059880239521
1,0.04,0.01,0.147193586300001,0.147193586300001,1147193.586300001,0.5041916167664671,1675,0.5190476190476191,364.19857628742506,-0.27562784836950205,1.570059880239521
1,0.04,0.02,0.147193586300001,0.147193586300001,1147193.586300001,0.5041916167664671,1675,0.5190476190476191,364.19857628742506,-0.27562784836950205,1.570059880239521
1,0.04,0.03,0.147193586300001,0.147193586300001,1147193.586300001,0.5041916167664671,1675,0.5190476190476191,364.19857628742506,-0.27562784836950205,1.570059880239521
1,0.05,0.01,0.147193586300001,0.147193586300001,1147193.586300001,0.5041916167664671,1675,0.5190476190476191,364.19857628742506,-0.27562784836950205,1.570059880239521
1,0.05,0.02,0.147193586300001,0.147193586300001,1147193.586300001,0.5041916167664671,1675,0.5190476190476191,364.19857628742506,-0.27562784836950205,1.570059880239521
1,0.05,0.03,0.147193586300001,0.147193586300001,1147193.586300001,0.5041916167664671,1675,0.5190476190476191,364.19857628742506,-0.27562784836950205,1.570059880239521
1,0.05,0.04,0.147193586300001,0.147193586300001,1147193.586300001,0.5041916167664671,1675,0.5190476190476191,364.19857628742506,-0.27562784836950205,1.570059880239521
1,0.06,0.01,0.147193586300001,0.147193586300001,1147193.586300001,0.5041916167664671,1675,0.5190476190476191,364.19857628742506,-0.27562784836950205,1.570059880239521
1,0.06,0.02,0.147193586300001,0.147193586300001,1147193.586300001,0.5041916167664671,1675,0.5190476190476191,364.19857628742506,-0.27562784836950205,1.570059880239521
1,0.06,0.03,0.147193586300001,0.147193586300001,1147193.586300001,0.5041916167664671,1675,0.5190476190476191,364.19857628742506,-0.27562784836950205,1.570059880239521
1,0.06,0.04,0.147193586300001,0.147193586300001,1147193.586300001,0.5041916167664671,1675,0.5190476190476191,364.19857628742506,-0.27562784836950205,1.570059880239521
1,0.06,0.05,0.147193586300001,0.147193586300001,1147193.586300001,0.5041916167664671,1675,0.5190476190476191,364.19857628742506,-0.27562784836950205,1.570059880239521
1,0.07,0.01,0.147193586300001,0.147193586300001,1147193.586300001,0.5041916167664671,1675,0.5190476190476191,364.19857628742506,-0.27562784836950205,1.570059880239521
1,0.07,0.02,0.147193586300001,0.147193586300001,1147193.586300001,0.5041916167664671,1675,0.5190476190476191,364.19857628742506,-0.27562784836950205,1.570059880239521
1,0.07,0.03,0.147193586300001,0.147193586300001,1147193.586300001,0.5041916167664671,1675,0.5190476190476191,364.19857628742506,-0.27562784836950205,1.570059880239521
1,0.07,0.04,0.147193586300001,0.147193586300001,1147193.586300001,0.5041916167664671,1675,0.5190476190476191,364.19857628742506,-0.27562784836950205,1.570059880239521
1,0.07,0.05,0.147193586300001,0.147193586300001,1147193.586300001,0.5041916167664671,1675,0.5190476190476191,364.19857628742506,-0.27562784836950205,1.570059880239521
1,0.07,0.06,0.147193586300001,0.147193586300001,1147193.586300001,0.5041916167664671,1675,0.5190476190476191,364.19857628742506,-0.27562784836950205,1.570059880239521
1,0.08,0.01,0.147193586300001,0.147193586300001,1147193.586300001,0.5041916167664671,1675,0.5190476190476191,364.19857628742506,-0.27562784836950205,1.570059880239521
1,0.08,0.02,0.147193586300001,0.147193586300001,1147193.586300001,0.5041916167664671,1675,0.5190476190476191,364.19857628742506,-0.27562784836950205,1.570059880239521
1,0.08,0.03,0.147193586300001,0.147193586300001,1147193.586300001,0.5041916167664671,1675,0.5190476190476191,364.19857628742506,-0.27562784836950205,1.570059880239521
1,0.08,0.04,0.147193586300001,0.147193586300001,1147193.586300001,0.5041916167664671,1675,0.5190476190476191,364.19857628742506,-0.27562784836950205,1.570059880239521
1,0.08,0.05,0.147193586300001,0.147193586300001,1147193.586300001,0.5041916167664671,1675,0.5190476190476191,364.19857628742506,-0.27562784836950205,1.570059880239521
1,0.08,0.06,0.147193586300001,0.147193586300001,1147193.586300001,0.5041916167664671,1675,0.5190476190476191,364.19857628742506,-0.27562784836950205,1.570059880239521
1,0.08,0.07,0.147193586300001,0.147193586300001,1147193.586300001,0.5041916167664671,1675,0.5190476190476191,364.19857628742506,-0.27562784836950205,1.570059880239521
1,0.09,0.01,0.147193586300001,0.147193586300001,1147193.586300001,0.5041916167664671,1675,0.5190476190476191,364.19857628742506,-0.27562784836950205,1.570059880239521
1,0.09,0.02,0.147193586300001,0.147193586300001,1147193.586300001,0.5041916167664671,1675,0.5190476190476191,364.19857628742506,-0.27562784836950205,1.570059880239521
1,0.09,0.03,0.147193586300001,0.147193586300001,1147193.586300001,0.5041916167664671,1675,0.5190476190476191,364.19857628742506,-0.27562784836950205,1.570059880239521
1,0.09,0.04,0.147193586300001,0.147193586300001,1147193.586300001,0.5041916167664671,1675,0.5190476190476191,364.19857628742506,-0.27562784836950205,1.570059880239521
1,0.09,0.05,0.147193586300001,0.147193586300001,1147193.586300001,0.5041916167664671,1675,0.5190476190476191,364.19857628742506,-0.27562784836950205,1.570059880239521
